Tm,Yds,TD,Y/A,Y/G,EXP
Baltimore Ravens,1361.0,12.0,3.6,80.1,43.67
Minnesota Vikings,1588.0,12.0,4.1,93.4,43.57
Denver Broncos,1639.0,10.0,3.9,96.4,35.91
Tampa Bay Buccaneers,1663.0,13.0,4.3,97.8,17.82
Detroit Lions,1672.0,18.0,4.5,98.4,-19.57
Pittsburgh Steelers,1678.0,14.0,4.1,98.7,-3.68
Green Bay Packers,1689.0,13.0,4.0,99.4,13.86
Kansas City Chiefs,1731.0,13.0,4.1,101.8,2.01
Miami Dolphins,1763.0,12.0,4.4,103.7,10.56
Philadelphia Eagles,1771.0,9.0,4.3,104.2,31.98
Houston Texans,1938.0,11.0,4.3,114.0,6.85
Buffalo Bills,1963.0,13.0,4.5,115.5,16.75
Las Vegas Raiders,1987.0,14.0,4.4,116.9,4.2
Los Angeles Chargers,1997.0,7.0,4.7,117.5,-5.14
Atlanta Falcons,2051.0,11.0,4.5,120.6,-20.08
Seattle Seahawks,2053.0,11.0,4.6,120.8,5.65
New York Jets,2059.0,22.0,4.1,121.1,-14.76
San Francisco 49ers,2118.0,24.0,4.4,124.6,-45.07
Cincinnati Bengals,2122.0,20.0,4.4,124.8,-33.29
Arizona Cardinals,2149.0,18.0,4.6,126.4,-35.69
Cleveland Browns,2205.0,22.0,4.5,129.7,8.9
Los Angeles Rams,2210.0,13.0,4.6,130.0,-43.37
New England Patriots,2233.0,16.0,4.4,131.4,-25.99
Indianapolis Colts,2241.0,18.0,4.2,131.8,13.53
Jacksonville Jaguars,2254.0,19.0,4.4,132.6,-25.28
Tennessee Titans,2277.0,21.0,4.5,133.9,-14.45
New York Giants,2316.0,18.0,4.6,136.2,-7.19
Chicago Bears,2317.0,20.0,4.8,136.3,-24.05
Dallas Cowboys,2331.0,25.0,4.8,137.1,-67.95
Washington Commanders,2337.0,18.0,4.8,137.5,-46.56
New Orleans Saints,2404.0,20.0,4.9,141.4,-60.21
Carolina Panthers,3057.0,24.0,5.2,179.8,-97.76
Avg Team,2036.7,16.0,4.4,119.8,-10.5
League Total,65174.0,511.0,4.4,119.8,
Avg Tm/G,119.8,0.9,4.4,119.8,
