Tm,RshTD,RecTD,AllTD,Pts,Pts/G
Los Angeles Chargers,7.0,24.0,31.0,301.0,17.7
Philadelphia Eagles,9.0,22.0,33.0,303.0,17.8
Denver Broncos,10.0,22.0,32.0,311.0,18.3
Kansas City Chiefs,13.0,24.0,37.0,326.0,19.2
Minnesota Vikings,12.0,24.0,37.0,332.0,19.5
Green Bay Packers,13.0,23.0,39.0,338.0,19.9
Detroit Lions,18.0,18.0,37.0,342.0,20.1
Pittsburgh Steelers,14.0,23.0,39.0,347.0,20.4
Baltimore Ravens,12.0,27.0,39.0,361.0,21.2
Miami Dolphins,12.0,22.0,36.0,364.0,21.4
Buffalo Bills,13.0,28.0,44.0,368.0,21.6
Seattle Seahawks,11.0,26.0,40.0,368.0,21.6
Chicago Bears,20.0,17.0,37.0,370.0,21.8
Houston Texans,11.0,31.0,42.0,372.0,21.9
Arizona Cardinals,18.0,20.0,40.0,379.0,22.3
Tampa Bay Buccaneers,13.0,27.0,41.0,385.0,22.6
Los Angeles Rams,13.0,29.0,43.0,386.0,22.7
Washington Commanders,18.0,25.0,45.0,391.0,23.0
New Orleans Saints,20.0,19.0,43.0,398.0,23.4
New York Jets,22.0,18.0,42.0,404.0,23.8
New York Giants,18.0,23.0,47.0,415.0,24.4
New England Patriots,16.0,27.0,47.0,417.0,24.5
Atlanta Falcons,11.0,34.0,47.0,423.0,24.9
Indianapolis Colts,18.0,27.0,48.0,427.0,25.1
Cincinnati Bengals,20.0,30.0,53.0,434.0,25.5
Las Vegas Raiders,14.0,29.0,46.0,434.0,25.5
Cleveland Browns,22.0,26.0,53.0,435.0,25.6
Jacksonville Jaguars,19.0,29.0,48.0,435.0,25.6
San Francisco 49ers,24.0,25.0,50.0,436.0,25.6
Tennessee Titans,21.0,27.0,55.0,460.0,27.1
Dallas Cowboys,25.0,28.0,55.0,468.0,27.5
Carolina Panthers,24.0,35.0,61.0,534.0,31.4
Avg Team,16.0,25.3,43.3,389.6,22.9
League Total,511.0,809.0,1387.0,12466.0,22.9
Avg Tm/G,0.94,1.49,2.55,22.9,
