Tm,Points_For,Total_Yards,Yards_Per_Play,Total_EXP
Detroit Lions,564.0,6962.0,6.2,269.8
Buffalo Bills,525.0,6105.0,6.0,266.71
Baltimore Ravens,518.0,7224.0,6.8,300.81
Tampa Bay Buccaneers,502.0,6793.0,6.2,207.09
Washington Commanders,485.0,6284.0,5.7,242.98
Cincinnati Bengals,472.0,6214.0,5.8,150.85
Philadelphia Eagles,463.0,6242.0,5.6,202.72
Green Bay Packers,460.0,6303.0,6.1,138.96
Minnesota Vikings,432.0,5898.0,5.6,70.97
Denver Broncos,425.0,5518.0,5.2,48.21
Los Angeles Chargers,402.0,5511.0,5.4,83.28
Arizona Cardinals,400.0,6090.0,5.9,132.27
Atlanta Falcons,389.0,6287.0,5.8,99.63
San Francisco 49ers,389.0,6397.0,6.2,115.77
Kansas City Chiefs,385.0,5570.0,5.1,113.11
Pittsburgh Steelers,380.0,5430.0,5.0,13.94
Indianapolis Colts,377.0,5692.0,5.5,12.49
Seattle Seahawks,375.0,5647.0,5.5,26.6
Houston Texans,372.0,5435.0,5.1,11.46
Los Angeles Rams,367.0,5633.0,5.4,87.14
Dallas Cowboys,350.0,5567.0,5.0,-42.28
Miami Dolphins,345.0,5532.0,5.1,0.06
Carolina Panthers,341.0,5066.0,5.1,-9.53
New Orleans Saints,338.0,5442.0,5.3,14.68
New York Jets,338.0,5275.0,5.2,28.95
Jacksonville Jaguars,320.0,5206.0,5.2,13.88
Tennessee Titans,311.0,5172.0,5.0,-62.07
Chicago Bears,310.0,4820.0,4.5,-43.48
Las Vegas Raiders,309.0,5154.0,4.8,-76.31
New England Patriots,289.0,4964.0,4.8,-38.96
New York Giants,273.0,5011.0,4.7,-82.92
Cleveland Browns,258.0,5114.0,4.6,-161.38
Avg Team,389.5,5736.2,5.4,66.7
