Tm,Sc%,TO%,Yds/Drive,Pts/Drive
,,,,
Kansas City Chiefs,36.5,11.4,Own 29.5,1.98
Arizona Cardinals,43.1,9.6,Own 29.7,2.2
Los Angeles Rams,42.9,10.6,Own 28.1,2.3
Buffalo Bills,36.3,17.5,Own 28.7,2.07
Washington Commanders,41.5,8.8,Own 29.6,2.25
New England Patriots,42.8,5.8,Own 31.5,2.3
Atlanta Falcons,43.7,9.8,Own 30.9,2.34
New York Jets,44.6,8.6,Own 31.4,2.25
Philadelphia Eagles,31.6,14.1,Own 30.7,1.65
San Francisco 49ers,44.4,9,Own 33.0,2.43
Green Bay Packers,33,16.2,Own 29.3,1.79
Jacksonville Jaguars,45.6,4.4,Own 28.7,2.43
Detroit Lions,35.4,13.3,Own 29.1,1.86
Miami Dolphins,38.7,8.8,Own 31.8,1.91
Los Angeles Chargers,32.6,11.6,Own 29.0,1.66
New York Giants,38.7,8.3,Own 29.0,2.07
Tampa Bay Buccaneers,40.1,8.8,Own 32.1,2.08
Pittsburgh Steelers,34.6,15.9,Own 30.0,1.85
Cincinnati Bengals,39.3,12.6,Own 29.1,2.27
Las Vegas Raiders,42.6,7.1,Own 32.8,2.2
Tennessee Titans,40.4,8.7,Own 32.3,2.26
New Orleans Saints,39.3,9.3,Own 27.2,2.03
Chicago Bears,40.5,13,Own 29.9,2.02
Carolina Panthers,51.4,8.6,Own 31.3,2.82
Baltimore Ravens,36.6,9.1,Own 30.1,1.94
Minnesota Vikings,31.6,16.6,Own 29.7,1.72
Dallas Cowboys,42.9,11,Own 31.4,2.4
Houston Texans,35.2,14,Own 27.7,1.93
Denver Broncos,31.6,12.4,Own 27.9,1.61
Seattle Seahawks,34,9.3,Own 29.7,1.78
Indianapolis Colts,38.3,12.8,Own 32.1,2.07
Cleveland Browns,33.3,5.3,Own 31.3,1.91
League Total,38.8,10.7,Own 30.1,2.07
