Tm,Sc%,TO%,Yds/Drive,Pts/Drive
Cleveland Browns,22.4,15.9,25.4,1.21
Indianapolis Colts,36.6,14.9,29.3,1.92
Houston Texans,36.8,9.3,28.1,1.83
Las Vegas Raiders,33.0,15.2,26.9,1.6
Tennessee Titans,30.4,16.8,26.9,1.6
Minnesota Vikings,41.4,10.5,30.8,2.16
Denver Broncos,38.4,10.0,29.0,2.04
Dallas Cowboys,36.5,14.3,29.3,1.71
Pittsburgh Steelers,39.6,8.6,28.4,1.91
Carolina Panthers,33.3,11.8,27.2,1.86
New York Giants,27.9,12.0,27.3,1.45
Seattle Seahawks,35.2,9.9,30.4,1.89
Philadelphia Eagles,44.5,6.6,34.2,2.5
Miami Dolphins,39.0,11.0,30.1,1.92
Los Angeles Chargers,42.9,4.4,29.9,2.14
Detroit Lions,51.6,8.2,38.3,3.04
Chicago Bears,29.8,7.7,26.6,1.62
New Orleans Saints,34.8,9.4,30.0,1.84
Green Bay Packers,45.9,9.9,34.8,2.5
Baltimore Ravens,47.0,6.1,39.7,2.8
Tampa Bay Buccaneers,48.1,12.7,37.4,2.7
Cincinnati Bengals,43.6,10.5,34.3,2.5
New England Patriots,30.9,12.9,27.8,1.58
Jacksonville Jaguars,33.3,13.0,29.4,1.72
Washington Commanders,50.0,8.0,35.6,2.73
San Francisco 49ers,41.7,13.7,36.5,2.17
New York Jets,34.1,10.4,30.4,1.92
Buffalo Bills,49.7,4.6,35.4,2.92
Los Angeles Rams,39.1,8.3,33.3,2.05
Kansas City Chiefs,43.2,8.3,33.0,2.27
Atlanta Falcons,39.6,13.6,36.6,2.11
Arizona Cardinals,44.6,11.9,36.3,2.32
League Total,38.8,10.7,31.4,2.07
