Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
49ers,2024,Joshua Dobbs,QB,81,7.51%,0,0%,0,0%,Joshua Dobbs 2024 game-by-game snap counts
49ers,2024,Brandon Allen,QB,54,5.00%,0,0%,0,0%,Brandon Allen 2024 game-by-game snap counts
49ers,2024,Jordan Mason,RB,378,35.03%,0,0%,27,6.00%,Jordan Mason 2024 game-by-game snap counts
49ers,2024,Christian McCaffrey,RB,167,15.48%,0,0%,0,0%,Christian McCaffrey 2024 game-by-game snap counts
49ers,2024,Isaac Guerendo,RB,227,21.04%,0,0%,124,27.56%,Isaac Guerendo 2024 game-by-game snap counts
49ers,2024,Ke'Shawn Vaughn,RB,3,.28%,0,0%,14,3.11%,Ke'Shawn Vaughn 2024 game-by-game snap counts
49ers,2024,Patrick Taylor,RB,172,15.94%,0,0%,120,26.67%,Patrick Taylor 2024 game-by-game snap counts
49ers,2024,Kyle Juszczyk,FB,537,49.77%,0,0%,7,1.56%,Kyle Juszczyk 2024 game-by-game snap counts
49ers,2024,Deebo Samuel,WR,682,63.21%,0,0%,48,10.67%,Deebo Samuel 2024 game-by-game snap counts
49ers,2024,Ricky Pearsall,WR,455,42.17%,0,0%,4,.89%,Ricky Pearsall 2024 game-by-game snap counts
49ers,2024,Chris Conley,WR,239,22.15%,0,0%,217,48.22%,Chris Conley 2024 game-by-game snap counts
49ers,2024,Brandon Aiyuk,WR,357,33.09%,0,0%,0,0%,Brandon Aiyuk 2024 game-by-game snap counts
49ers,2024,Jauan Jennings,WR,689,63.86%,0,0%,0,0%,Jauan Jennings 2024 game-by-game snap counts
49ers,2024,Ronnie Bell,WR,113,10.47%,0,0%,13,2.89%,Ronnie Bell 2024 game-by-game snap counts
49ers,2024,Trent Taylor,WR,14,1.30%,0,0%,10,2.22%,Trent Taylor 2024 game-by-game snap counts
49ers,2024,Jacob Cowing,WR,106,9.82%,0,0%,64,14.22%,Jacob Cowing 2024 game-by-game snap counts
49ers,2024,George Kittle,TE,808,74.88%,0,0%,0,0%,George Kittle 2024 game-by-game snap counts
49ers,2024,Eric Saubert,TE,377,34.94%,0,0%,302,67.11%,Eric Saubert 2024 game-by-game snap counts
49ers,2024,Brayden Willis,TE,25,2.32%,0,0%,158,35.11%,Brayden Willis 2024 game-by-game snap counts
49ers,2024,Jake Tonges,TE,34,3.15%,0,0%,232,51.56%,Jake Tonges 2024 game-by-game snap counts
49ers,2024,Colton McKivitz,T,1062,98.42%,0,0%,83,18.44%,Colton McKivitz 2024 game-by-game snap counts
49ers,2024,Trent Williams,T,649,60.15%,0,0%,0,0%,Trent Williams 2024 game-by-game snap counts
49ers,2024,Charlie Heck,T,87,8.06%,0,0%,12,2.67%,Charlie Heck 2024 game-by-game snap counts
49ers,2024,Jaylon Moore,T,271,25.12%,0,0%,69,15.33%,Jaylon Moore 2024 game-by-game snap counts
49ers,2024,Sebastian Gutierrez,T,3,.28%,0,0%,5,1.11%,Sebastian Gutierrez 2024 game-by-game snap counts
49ers,2024,Austen Pleasants,T,67,6.21%,0,0%,14,3.11%,Austen Pleasants 2024 game-by-game snap counts
49ers,2024,Dominick Puni,G,1078,99.91%,0,0%,83,18.44%,Dominick Puni 2024 game-by-game snap counts
49ers,2024,Aaron Banks,G,775,71.83%,0,0%,57,12.67%,Aaron Banks 2024 game-by-game snap counts
49ers,2024,Spencer Burford,G,113,10.47%,0,0%,71,15.78%,Spencer Burford 2024 game-by-game snap counts
49ers,2024,Nick Zakelj,G,162,15.01%,0,0%,83,18.44%,Nick Zakelj 2024 game-by-game snap counts
49ers,2024,Ben Bartch,G,65,6.02%,0,0%,5,1.11%,Ben Bartch 2024 game-by-game snap counts
49ers,2024,Jake Brendel,C,1072,99.35%,0,0%,4,.89%,Jake Brendel 2024 game-by-game snap counts
49ers,2024,Matt Hennessy,C,3,.28%,0,0%,12,2.67%,Matt Hennessy 2024 game-by-game snap counts
49ers,2024,Nick Bosa,DE,0,0%,693,64.95%,10,2.22%,Nick Bosa 2024 game-by-game snap counts
49ers,2024,Leonard Floyd,DE,0,0%,606,56.79%,9,2.00%,Leonard Floyd 2024 game-by-game snap counts
49ers,2024,Alex Barrett,DE,0,0%,24,2.25%,64,14.22%,Alex Barrett 2024 game-by-game snap counts
49ers,2024,Robert Beal,DE,0,0%,148,13.87%,238,52.89%,Robert Beal 2024 game-by-game snap counts
49ers,2024,Sam Okuayinonu,DE,0,0%,450,42.17%,39,8.67%,Sam Okuayinonu 2024 game-by-game snap counts
49ers,2024,Maliek Collins,DT,0,0%,717,67.20%,80,17.78%,Maliek Collins 2024 game-by-game snap counts
49ers,2024,Javon Hargrave,DT,0,0%,104,9.75%,1,.22%,Javon Hargrave 2024 game-by-game snap counts
49ers,2024,Evan Anderson,DT,0,0%,267,25.02%,57,12.67%,Evan Anderson 2024 game-by-game snap counts
49ers,2024,Kalia Davis,DT,0,0%,260,24.37%,17,3.78%,Kalia Davis 2024 game-by-game snap counts
49ers,2024,Kevin Givens,DT,0,0%,185,17.34%,21,4.67%,Kevin Givens 2024 game-by-game snap counts
49ers,2024,Jordan Elliott,DT,0,0%,441,41.33%,63,14.00%,Jordan Elliott 2024 game-by-game snap counts
49ers,2024,T.Y. McGill,DT,0,0%,11,1.03%,0,0%,T.Y. McGill 2024 game-by-game snap counts
49ers,2024,Khalil Davis,DT,0,0%,37,3.47%,0,0%,Khalil Davis 2024 game-by-game snap counts
49ers,2024,Fred Warner,LB,0,0%,998,93.53%,81,18.00%,Fred Warner 2024 game-by-game snap counts
49ers,2024,De'Vondre Campbell,LB,0,0%,719,67.39%,60,13.33%,De'Vondre Campbell 2024 game-by-game snap counts
49ers,2024,Dre Greenlaw,LB,0,0%,34,3.19%,1,.22%,Dre Greenlaw 2024 game-by-game snap counts
49ers,2024,Yetur Gross-Matos,LB,0,0%,368,34.49%,53,11.78%,Yetur Gross-Matos 2024 game-by-game snap counts
49ers,2024,Demetrius Flannigan-Fowles,LB,0,0%,150,14.06%,184,40.89%,Demetrius Flannigan-Fowles 2024 game-by-game snap counts
49ers,2024,Curtis Robinson,LB,0,0%,0,0%,59,13.11%,Curtis Robinson 2024 game-by-game snap counts
49ers,2024,Tatum Bethune,LB,0,0%,51,4.78%,165,36.67%,Tatum Bethune 2024 game-by-game snap counts
49ers,2024,Jalen Graham,LB,0,0%,36,3.37%,125,27.78%,Jalen Graham 2024 game-by-game snap counts
49ers,2024,Dee Winters,LB,0,0%,398,37.30%,162,36.00%,Dee Winters 2024 game-by-game snap counts
49ers,2024,DaShaun White,LB,0,0%,0,0%,4,.89%,DaShaun White 2024 game-by-game snap counts
49ers,2024,Deommodore Lenoir,CB,0,0%,923,86.50%,70,15.56%,Deommodore Lenoir 2024 game-by-game snap counts
49ers,2024,Charvarius Ward,CB,0,0%,695,65.14%,4,.89%,Charvarius Ward 2024 game-by-game snap counts
49ers,2024,Isaac Yiadom,CB,0,0%,486,45.55%,250,55.56%,Isaac Yiadom 2024 game-by-game snap counts
49ers,2024,Renardo Green,CB,0,0%,675,63.26%,78,17.33%,Renardo Green 2024 game-by-game snap counts
49ers,2024,Darrell Luter,CB,0,0%,3,.28%,47,10.44%,Darrell Luter 2024 game-by-game snap counts
49ers,2024,Rock Ya-Sin,CB,0,0%,62,5.81%,107,23.78%,Rock Ya-Sin 2024 game-by-game snap counts
49ers,2024,Nick McCloud,CB,0,0%,54,5.06%,97,21.56%,Nick McCloud 2024 game-by-game snap counts
