Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Bears,2024,Tyson Bagent,QB,13,1.14%,0,0%,0,0%,Tyson Bagent 2024 game-by-game snap counts
Bears,2024,D'Andre Swift,RB,751,66.11%,0,0%,0,0%,D'Andre Swift 2024 game-by-game snap counts
Bears,2024,Travis Homer,RB,75,6.60%,0,0%,166,37.99%,Travis Homer 2024 game-by-game snap counts
Bears,2024,Khalil Herbert,RB,27,2.38%,0,0%,64,14.65%,Khalil Herbert 2024 game-by-game snap counts
Bears,2024,Roschon Johnson,RB,272,23.94%,0,0%,132,30.21%,Roschon Johnson 2024 game-by-game snap counts
Bears,2024,Darrynton Evans,RB,4,.35%,0,0%,33,7.55%,Darrynton Evans 2024 game-by-game snap counts
Bears,2024,Khari Blasingame,FB,10,.88%,0,0%,25,5.72%,Khari Blasingame 2024 game-by-game snap counts
Bears,2024,D.J. Moore,WR,1066,93.84%,0,0%,2,.46%,D.J. Moore 2024 game-by-game snap counts
Bears,2024,Rome Odunze,WR,954,83.98%,0,0%,0,0%,Rome Odunze 2024 game-by-game snap counts
Bears,2024,Keenan Allen,WR,850,74.82%,0,0%,0,0%,Keenan Allen 2024 game-by-game snap counts
Bears,2024,DeAndre Carter,WR,137,12.06%,0,0%,106,24.26%,DeAndre Carter 2024 game-by-game snap counts
Bears,2024,Velus Jones Jr.,WR,4,.35%,0,0%,12,2.75%,Velus Jones Jr. 2024 game-by-game snap counts
Bears,2024,Collin Johnson,WR,32,2.82%,0,0%,130,29.75%,Collin Johnson 2024 game-by-game snap counts
Bears,2024,Tyler Scott,WR,20,1.76%,0,0%,35,8.01%,Tyler Scott 2024 game-by-game snap counts
Bears,2024,Gerald Everett,TE,246,21.65%,0,0%,6,1.37%,Gerald Everett 2024 game-by-game snap counts
Bears,2024,Cole Kmet,TE,994,87.50%,0,0%,52,11.90%,Cole Kmet 2024 game-by-game snap counts
Bears,2024,Marcedes Lewis,TE,220,19.37%,0,0%,52,11.90%,Marcedes Lewis 2024 game-by-game snap counts
Bears,2024,Larry Borom,T,330,29.05%,0,0%,12,2.75%,Larry Borom 2024 game-by-game snap counts
Bears,2024,Teven Jenkins,T,738,64.96%,0,0%,24,5.49%,Teven Jenkins 2024 game-by-game snap counts
Bears,2024,Darnell Wright,T,1022,89.96%,0,0%,46,10.53%,Darnell Wright 2024 game-by-game snap counts
Bears,2024,Braxton Jones,T,720,63.38%,0,0%,31,7.09%,Braxton Jones 2024 game-by-game snap counts
Bears,2024,Jake Curhan,T,261,22.98%,0,0%,17,3.89%,Jake Curhan 2024 game-by-game snap counts
Bears,2024,Kiran Amegadjie,T,125,11.00%,0,0%,15,3.43%,Kiran Amegadjie 2024 game-by-game snap counts
Bears,2024,Matt Pryor,T,1006,88.56%,0,0%,52,11.90%,Matt Pryor 2024 game-by-game snap counts
Bears,2024,Bill Murray,G,42,3.70%,0,0%,1,.23%,Bill Murray 2024 game-by-game snap counts
Bears,2024,Nate Davis,G,142,12.50%,0,0%,4,.92%,Nate Davis 2024 game-by-game snap counts
Bears,2024,Chris Glaser,G,1,.09%,0,0%,8,1.83%,Chris Glaser 2024 game-by-game snap counts
Bears,2024,Coleman Shelton,C,1122,98.77%,0,0%,52,11.90%,Coleman Shelton 2024 game-by-game snap counts
Bears,2024,Ryan Bates,C,105,9.24%,0,0%,0,0%,Ryan Bates 2024 game-by-game snap counts
Bears,2024,Doug Kramer,C,84,7.39%,0,0%,49,11.21%,Doug Kramer 2024 game-by-game snap counts
Bears,2024,DeMarcus Walker,DE,0,0%,739,69.19%,31,7.09%,DeMarcus Walker 2024 game-by-game snap counts
Bears,2024,Montez Sweat,DE,0,0%,616,57.68%,10,2.29%,Montez Sweat 2024 game-by-game snap counts
Bears,2024,Darrell Taylor,DE,0,0%,375,35.11%,27,6.18%,Darrell Taylor 2024 game-by-game snap counts
Bears,2024,Jacob Martin,DE,0,0%,222,20.79%,206,47.14%,Jacob Martin 2024 game-by-game snap counts
Bears,2024,Dominique Robinson,DE,0,0%,84,7.87%,63,14.42%,Dominique Robinson 2024 game-by-game snap counts
Bears,2024,Daniel Hardy,DE,0,0%,31,2.90%,370,84.67%,Daniel Hardy 2024 game-by-game snap counts
Bears,2024,Austin Booker,DE,0,0%,283,26.50%,77,17.62%,Austin Booker 2024 game-by-game snap counts
Bears,2024,Andrew Billings,DT,0,0%,298,27.90%,32,7.32%,Andrew Billings 2024 game-by-game snap counts
Bears,2024,Gervon Dexter,DT,0,0%,617,57.77%,75,17.16%,Gervon Dexter 2024 game-by-game snap counts
Bears,2024,Jonathan Ford,DT,0,0%,77,7.21%,0,0%,Jonathan Ford 2024 game-by-game snap counts
Bears,2024,Chris Williams,DT,0,0%,367,34.36%,5,1.14%,Chris Williams 2024 game-by-game snap counts
Bears,2024,Byron Cowart,DT,0,0%,335,31.37%,27,6.18%,Byron Cowart 2024 game-by-game snap counts
Bears,2024,Zacch Pickens,DT,0,0%,228,21.35%,42,9.61%,Zacch Pickens 2024 game-by-game snap counts
Bears,2024,Tremaine Edmunds,LB,0,0%,1056,98.88%,15,3.43%,Tremaine Edmunds 2024 game-by-game snap counts
Bears,2024,T.J. Edwards,LB,0,0%,1055,98.78%,15,3.43%,T.J. Edwards 2024 game-by-game snap counts
Bears,2024,Jack Sanborn,LB,0,0%,235,22.00%,369,84.44%,Jack Sanborn 2024 game-by-game snap counts
Bears,2024,Amen Ogbongbemiga,LB,0,0%,15,1.40%,366,83.75%,Amen Ogbongbemiga 2024 game-by-game snap counts
Bears,2024,Noah Sewell,LB,0,0%,5,.47%,141,32.27%,Noah Sewell 2024 game-by-game snap counts
Bears,2024,Carl Jones,LB,0,0%,0,0%,12,2.75%,Carl Jones 2024 game-by-game snap counts
Bears,2024,Tyrique Stevenson,CB,0,0%,811,75.94%,109,24.94%,Tyrique Stevenson 2024 game-by-game snap counts
Bears,2024,Jaylon Johnson,CB,0,0%,1032,96.63%,11,2.52%,Jaylon Johnson 2024 game-by-game snap counts
Bears,2024,Kyler Gordon,CB,0,0%,725,67.88%,16,3.66%,Kyler Gordon 2024 game-by-game snap counts
Bears,2024,Jaylon Jones,CB,0,0%,76,7.12%,140,32.04%,Jaylon Jones 2024 game-by-game snap counts
Bears,2024,Josh Blackwell,CB,0,0%,102,9.55%,286,65.45%,Josh Blackwell 2024 game-by-game snap counts
Bears,2024,Reddy Steward,CB,0,0%,18,1.69%,1,.23%,Reddy Steward 2024 game-by-game snap counts
Bears,2024,Terell Smith,CB,0,0%,207,19.38%,145,33.18%,Terell Smith 2024 game-by-game snap counts
Bears,2024,Ameer Speed,CB,0,0%,3,.28%,14,3.20%,Ameer Speed 2024 game-by-game snap counts
Bears,2024,Jaquan Brisker,SS,0,0%,294,27.53%,21,4.81%,Jaquan Brisker 2024 game-by-game snap counts
Bears,2024,Jonathan Owens,SS,0,0%,429,40.17%,240,54.92%,Jonathan Owens 2024 game-by-game snap counts
Bears,2024,Tarvarius Moore,SS,0,0%,0,0%,185,42.33%,Tarvarius Moore 2024 game-by-game snap counts
Bears,2024,Kevin Byard,FS,0,0%,1056,98.88%,0,0%,Kevin Byard 2024 game-by-game snap counts
Bears,2024,Elijah Hicks,FS,0,0%,356,33.33%,177,40.50%,Elijah Hicks 2024 game-by-game snap counts
Bears,2024,Adrian Colbert,FS,0,0%,0,0%,62,14.19%,Adrian Colbert 2024 game-by-game snap counts
Bears,2024,Scott Daly,LS,0,0%,0,0%,130,29.75%,Scott Daly 2024 game-by-game snap counts
Bears,2024,Cairo Santos,K,0,0%,0,0%,123,28.15%,Cairo Santos 2024 game-by-game snap counts
Bears,2024,Tory Taylor,P,0,0%,0,0%,137,31.35%,Tory Taylor 2024 game-by-game snap counts
Bears,2024,Total Snaps,,1136,,1068,,437,,
