Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Bills,2024,Mike White,QB,20,1.84%,0,0%,0,0%,Mike White 2024 game-by-game snap counts
Bills,2024,Mitchell Trubisky,QB,102,9.38%,0,0%,0,0%,Mitchell Trubisky 2024 game-by-game snap counts
Bills,2024,James Cook,RB,485,44.58%,0,0%,0,0%,James Cook 2024 game-by-game snap counts
Bills,2024,Ty Johnson,RB,316,29.04%,0,0%,113,25.34%,Ty Johnson 2024 game-by-game snap counts
Bills,2024,Ray Davis,RB,264,24.26%,0,0%,56,12.56%,Ray Davis 2024 game-by-game snap counts
Bills,2024,Reggie Gilliam,FB,139,12.78%,0,0%,330,73.99%,Reggie Gilliam 2024 game-by-game snap counts
Bills,2024,Mack Hollins,WR,721,66.27%,2,.18%,100,22.42%,Mack Hollins 2024 game-by-game snap counts
Bills,2024,Keon Coleman,WR,598,54.96%,0,0%,0,0%,Keon Coleman 2024 game-by-game snap counts
Bills,2024,Khalil Shakir,WR,586,53.86%,0,0%,4,.90%,Khalil Shakir 2024 game-by-game snap counts
Bills,2024,Tyrell Shavers,WR,32,2.94%,0,0%,10,2.24%,Tyrell Shavers 2024 game-by-game snap counts
Bills,2024,Jalen Virgil,WR,37,3.40%,0,0%,83,18.61%,Jalen Virgil 2024 game-by-game snap counts
Bills,2024,Amari Cooper,WR,239,21.97%,0,0%,0,0%,Amari Cooper 2024 game-by-game snap counts
Bills,2024,Curtis Samuel,WR,378,34.74%,0,0%,0,0%,Curtis Samuel 2024 game-by-game snap counts
Bills,2024,Marquez Valdes-Scantling,WR,141,12.96%,0,0%,0,0%,Marquez Valdes-Scantling 2024 game-by-game snap counts
Bills,2024,Dalton Kincaid,TE,471,43.29%,0,0%,3,.67%,Dalton Kincaid 2024 game-by-game snap counts
Bills,2024,Dawson Knox,TE,618,56.80%,0,0%,4,.90%,Dawson Knox 2024 game-by-game snap counts
Bills,2024,Quintin Morris,TE,214,19.67%,0,0%,324,72.65%,Quintin Morris 2024 game-by-game snap counts
Bills,2024,Zach Davidson,TE,42,3.86%,0,0%,26,5.83%,Zach Davidson 2024 game-by-game snap counts
Bills,2024,Dion Dawkins,T,961,88.33%,0,0%,47,10.54%,Dion Dawkins 2024 game-by-game snap counts
Bills,2024,Spencer Brown,T,932,85.66%,0,0%,76,17.04%,Spencer Brown 2024 game-by-game snap counts
Bills,2024,Ryan Van Demark,T,199,18.29%,0,0%,72,16.14%,Ryan Van Demark 2024 game-by-game snap counts
Bills,2024,Tylan Grable,T,74,6.80%,0,0%,22,4.93%,Tylan Grable 2024 game-by-game snap counts
Bills,2024,Richard Gouraige,T,3,.28%,0,0%,0,0%,Richard Gouraige 2024 game-by-game snap counts
Bills,2024,David Edwards,G,977,89.80%,0,0%,90,20.18%,David Edwards 2024 game-by-game snap counts
