Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Browns,2024,Bailey Zappe,QB,53,4.49%,0,0%,0,0%,Bailey Zappe 2024 game-by-game snap counts
Browns,2024,Dorian Thompson-Robinson,QB,208,17.63%,0,0%,0,0%,Dorian Thompson-Robinson 2024 game-by-game snap counts
Browns,2024,Jameis Winston,QB,504,42.71%,0,0%,0,0%,Jameis Winston 2024 game-by-game snap counts
Browns,2024,Jerome Ford,RB,526,44.58%,0,0%,39,8.39%,Jerome Ford 2024 game-by-game snap counts
Browns,2024,Pierre Strong,RB,192,16.27%,0,0%,184,39.57%,Pierre Strong 2024 game-by-game snap counts
Browns,2024,Nick Chubb,RB,235,19.92%,0,0%,0,0%,Nick Chubb 2024 game-by-game snap counts
Browns,2024,Jacob Kibodi,RB,17,1.44%,0,0%,0,0%,Jacob Kibodi 2024 game-by-game snap counts
Browns,2024,Gary Brightwell,RB,0,0%,0,0%,20,4.30%,Gary Brightwell 2024 game-by-game snap counts
Browns,2024,D'Onta Foreman,RB,195,16.53%,0,0%,30,6.45%,D'Onta Foreman 2024 game-by-game snap counts
Browns,2024,Amari Cooper,WR,348,29.49%,0,0%,1,.22%,Amari Cooper 2024 game-by-game snap counts
Browns,2024,Elijah Moore,WR,892,75.59%,0,0%,4,.86%,Elijah Moore 2024 game-by-game snap counts
Browns,2024,Michael Woods II,WR,304,25.76%,0,0%,20,4.30%,Michael Woods II 2024 game-by-game snap counts
Browns,2024,Jerry Jeudy,WR,1061,89.92%,0,0%,0,0%,Jerry Jeudy 2024 game-by-game snap counts
Browns,2024,Cedric Tillman,WR,432,36.61%,0,0%,14,3.01%,Cedric Tillman 2024 game-by-game snap counts
Browns,2024,Kaden Davis,WR,15,1.27%,0,0%,11,2.37%,Kaden Davis 2024 game-by-game snap counts
Browns,2024,Jaelon Darden,WR,22,1.86%,0,0%,47,10.11%,Jaelon Darden 2024 game-by-game snap counts
Browns,2024,James Proche,WR,16,1.36%,0,0%,63,13.55%,James Proche 2024 game-by-game snap counts
Browns,2024,David Bell,WR,9,.76%,0,0%,0,0%,David Bell 2024 game-by-game snap counts
Browns,2024,Jamari Thrash,WR,143,12.12%,0,0%,1,.22%,Jamari Thrash 2024 game-by-game snap counts
