Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Buccaneers,2024,Kyle Trask,QB,19,1.66%,0,0%,0,0%,Kyle Trask 2024 game-by-game snap counts
Buccaneers,2024,Rachaad White,RB,591,51.75%,0,0%,0,0%,Rachaad White 2024 game-by-game snap counts
Buccaneers,2024,Bucky Irving,RB,516,45.18%,0,0%,41,8.58%,Bucky Irving 2024 game-by-game snap counts
Buccaneers,2024,Sean Tucker,RB,112,9.81%,0,0%,178,37.24%,Sean Tucker 2024 game-by-game snap counts
Buccaneers,2024,D.J. Williams,RB,0,0%,0,0%,8,1.67%,D.J. Williams 2024 game-by-game snap counts
Buccaneers,2024,Jalen McMillan,WR,626,54.82%,0,0%,6,1.26%,Jalen McMillan 2024 game-by-game snap counts
Buccaneers,2024,Chris Godwin,WR,399,34.94%,0,0%,1,.21%,Chris Godwin 2024 game-by-game snap counts
Buccaneers,2024,Mike Evans,WR,671,58.76%,0,0%,1,.21%,Mike Evans 2024 game-by-game snap counts
Buccaneers,2024,Ryan Miller,WR,275,24.08%,0,0%,131,27.41%,Ryan Miller 2024 game-by-game snap counts
Buccaneers,2024,Rakim Jarrett,WR,210,18.39%,0,0%,50,10.46%,Rakim Jarrett 2024 game-by-game snap counts
Buccaneers,2024,Trey Palmer,WR,305,26.71%,0,0%,55,11.51%,Trey Palmer 2024 game-by-game snap counts
Buccaneers,2024,Kameron Johnson,WR,47,4.12%,0,0%,20,4.18%,Kameron Johnson 2024 game-by-game snap counts
Buccaneers,2024,Cody Thompson,WR,3,.26%,0,0%,3,.63%,Cody Thompson 2024 game-by-game snap counts
Buccaneers,2024,Sterling Shepard,WR,509,44.57%,0,0%,0,0%,Sterling Shepard 2024 game-by-game snap counts
Buccaneers,2024,Marquez Callaway,WR,5,.44%,0,0%,0,0%,Marquez Callaway 2024 game-by-game snap counts
Buccaneers,2024,Cade Otton,TE,856,74.96%,0,0%,1,.21%,Cade Otton 2024 game-by-game snap counts
Buccaneers,2024,Payne Durham,TE,430,37.65%,0,0%,116,24.27%,Payne Durham 2024 game-by-game snap counts
Buccaneers,2024,Ko Kieft,TE,104,9.11%,0,0%,329,68.83%,Ko Kieft 2024 game-by-game snap counts
Buccaneers,2024,Devin Culp,TE,41,3.59%,0,0%,50,10.46%,Devin Culp 2024 game-by-game snap counts
Buccaneers,2024,Tristan Wirfs,T,1016,88.97%,0,0%,43,9.00%,Tristan Wirfs 2024 game-by-game snap counts
Buccaneers,2024,Justin Skule,T,361,31.61%,0,0%,88,18.41%,Justin Skule 2024 game-by-game snap counts
Buccaneers,2024,Luke Goedeke,G,907,79.42%,0,0%,71,14.85%,Luke Goedeke 2024 game-by-game snap counts
Buccaneers,2024,Cody Mauch,G,1133,99.21%,0,0%,88,18.41%,Cody Mauch 2024 game-by-game snap counts
Buccaneers,2024,Ben Bredeson,G,1128,98.77%,0,0%,88,18.41%,Ben Bredeson 2024 game-by-game snap counts
Buccaneers,2024,Elijah Klein,G,9,.79%,0,0%,81,16.95%,Elijah Klein 2024 game-by-game snap counts
Buccaneers,2024,Royce Newman,G,3,.26%,0,0%,0,0%,Royce Newman 2024 game-by-game snap counts
Buccaneers,2024,Graham Barton,C,1065,93.26%,0,0%,24,5.02%,Graham Barton 2024 game-by-game snap counts
