Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Chiefs,2024,Chris Oladokun,QB,5,.44%,0,0%,0,0%,Chris Oladokun 2024 game-by-game snap counts
Chiefs,2024,Carson Wentz,QB,38,3.31%,0,0%,0,0%,Carson Wentz 2024 game-by-game snap counts
Chiefs,2024,Isiah Pacheco,RB,218,18.99%,0,0%,0,0%,Isiah Pacheco 2024 game-by-game snap counts
Chiefs,2024,Kareem Hunt,RB,477,41.55%,0,0%,0,0%,Kareem Hunt 2024 game-by-game snap counts
Chiefs,2024,Carson Steele,RB,201,17.51%,0,0%,137,31.79%,Carson Steele 2024 game-by-game snap counts
Chiefs,2024,Samaje Perine,RB,296,25.78%,0,0%,110,25.52%,Samaje Perine 2024 game-by-game snap counts
Chiefs,2024,Keaontay Ingram,RB,0,0%,0,0%,5,1.16%,Keaontay Ingram 2024 game-by-game snap counts
Chiefs,2024,Rashee Rice,WR,155,13.50%,0,0%,0,0%,Rashee Rice 2024 game-by-game snap counts
Chiefs,2024,Xavier Worthy,WR,757,65.94%,0,0%,0,0%,Xavier Worthy 2024 game-by-game snap counts
Chiefs,2024,Justin Watson,WR,686,59.76%,0,0%,66,15.31%,Justin Watson 2024 game-by-game snap counts
Chiefs,2024,DeAndre Hopkins,WR,356,31.01%,0,0%,0,0%,DeAndre Hopkins 2024 game-by-game snap counts
Chiefs,2024,Marquise Brown,WR,45,3.92%,0,0%,0,0%,Marquise Brown 2024 game-by-game snap counts
Chiefs,2024,JuJu Smith-Schuster,WR,424,36.93%,0,0%,0,0%,JuJu Smith-Schuster 2024 game-by-game snap counts
Chiefs,2024,Montrell Washington,WR,5,.44%,0,0%,5,1.16%,Montrell Washington 2024 game-by-game snap counts
Chiefs,2024,Skyy Moore,WR,82,7.14%,0,0%,18,4.18%,Skyy Moore 2024 game-by-game snap counts
Chiefs,2024,Nikko Remigio,WR,39,3.40%,0,0%,42,9.74%,Nikko Remigio 2024 game-by-game snap counts
Chiefs,2024,Justyn Ross,WR,14,1.22%,0,0%,0,0%,Justyn Ross 2024 game-by-game snap counts
