Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Colts,2024,Anthony Richardson,QB,620,57.04%,0,0%,0,0%,Anthony Richardson 2024 game-by-game snap counts
Colts,2024,Jonathan Taylor,RB,707,65.04%,0,0%,0,0%,Jonathan Taylor 2024 game-by-game snap counts
Colts,2024,Tyler Goodson,RB,132,12.14%,0,0%,174,37.10%,Tyler Goodson 2024 game-by-game snap counts
Colts,2024,Trey Sermon,RB,245,22.54%,0,0%,33,7.04%,Trey Sermon 2024 game-by-game snap counts
Colts,2024,Evan Hull,RB,1,.09%,0,0%,0,0%,Evan Hull 2024 game-by-game snap counts
Colts,2024,Michael Pittman Jr.,WR,904,83.16%,0,0%,2,.43%,Michael Pittman Jr. 2024 game-by-game snap counts
Colts,2024,Alec Pierce,WR,817,75.16%,0,0%,2,.43%,Alec Pierce 2024 game-by-game snap counts
Colts,2024,Josh Downs,WR,602,55.38%,0,0%,35,7.46%,Josh Downs 2024 game-by-game snap counts
Colts,2024,Adonai Mitchell,WR,383,35.23%,0,0%,0,0%,Adonai Mitchell 2024 game-by-game snap counts
Colts,2024,Ashton Dulin,WR,182,16.74%,0,0%,295,62.90%,Ashton Dulin 2024 game-by-game snap counts
Colts,2024,Anthony Gould,WR,15,1.38%,0,0%,72,15.35%,Anthony Gould 2024 game-by-game snap counts
Colts,2024,Laquon Treadwell,WR,7,.64%,0,0%,19,4.05%,Laquon Treadwell 2024 game-by-game snap counts
Colts,2024,Kylen Granson,TE,430,39.56%,0,0%,265,56.50%,Kylen Granson 2024 game-by-game snap counts
Colts,2024,Andrew Ogletree,TE,439,40.39%,0,0%,223,47.55%,Andrew Ogletree 2024 game-by-game snap counts
Colts,2024,Mo Alie-Cox,TE,475,43.70%,0,0%,110,23.45%,Mo Alie-Cox 2024 game-by-game snap counts
Colts,2024,Will Mallory,TE,93,8.56%,0,0%,15,3.20%,Will Mallory 2024 game-by-game snap counts
Colts,2024,Bernhard Raimann,T,856,78.75%,0,0%,39,8.32%,Bernhard Raimann 2024 game-by-game snap counts
Colts,2024,Braden Smith,T,731,67.25%,0,0%,0,0%,Braden Smith 2024 game-by-game snap counts
Colts,2024,Matt Goncalves,T,566,52.07%,0,0%,71,15.14%,Matt Goncalves 2024 game-by-game snap counts
Colts,2024,Blake Freeland,T,23,2.12%,0,0%,36,7.68%,Blake Freeland 2024 game-by-game snap counts
Colts,2024,Mark Glowinski,G,355,32.66%,0,0%,0,0%,Mark Glowinski 2024 game-by-game snap counts
Colts,2024,Will Fries,G,268,24.66%,0,0%,17,3.62%,Will Fries 2024 game-by-game snap counts
Colts,2024,Quenton Nelson,G,1083,99.63%,0,0%,0,0%,Quenton Nelson 2024 game-by-game snap counts
Colts,2024,Atonio Mafi,G,0,0%,0,0%,9,1.92%,Atonio Mafi 2024 game-by-game snap counts
Colts,2024,Dalton Tucker,G,464,42.69%,0,0%,53,11.30%,Dalton Tucker 2024 game-by-game snap counts
Colts,2024,Tanor Bortolini,C,351,32.29%,0,0%,28,5.97%,Tanor Bortolini 2024 game-by-game snap counts
Colts,2024,Ryan Kelly,C,601,55.29%,0,0%,0,0%,Ryan Kelly 2024 game-by-game snap counts
Colts,2024,Danny Pinter,C,138,12.70%,0,0%,55,11.73%,Danny Pinter 2024 game-by-game snap counts
Colts,2024,Kwity Paye,DE,0,0%,666,57.61%,10,2.13%,Kwity Paye 2024 game-by-game snap counts
Colts,2024,Tyquan Lewis,DE,0,0%,355,30.71%,0,0%,Tyquan Lewis 2024 game-by-game snap counts
Colts,2024,Laiatu Latu,DE,0,0%,618,53.46%,9,1.92%,Laiatu Latu 2024 game-by-game snap counts
Colts,2024,Dayo Odeyingbo,DE,0,0%,745,64.45%,91,19.40%,Dayo Odeyingbo 2024 game-by-game snap counts
Colts,2024,Isaiah Land,DE,0,0%,78,6.75%,49,10.45%,Isaiah Land 2024 game-by-game snap counts
Colts,2024,Genard Avery,DE,0,0%,2,.17%,0,0%,Genard Avery 2024 game-by-game snap counts
Colts,2024,Grover Stewart,DT,1,.09%,690,59.69%,167,35.61%,Grover Stewart 2024 game-by-game snap counts
Colts,2024,DeForest Buckner,DT,1,.09%,578,50.00%,4,.85%,DeForest Buckner 2024 game-by-game snap counts
Colts,2024,Adam Gotsis,DT,0,0%,71,6.14%,81,17.27%,Adam Gotsis 2024 game-by-game snap counts
Colts,2024,Adetomiwa Adebawore,DT,0,0%,136,11.76%,223,47.55%,Adetomiwa Adebawore 2024 game-by-game snap counts
Colts,2024,Taven Bryan,DT,0,0%,340,29.41%,164,34.97%,Taven Bryan 2024 game-by-game snap counts
Colts,2024,Raekwon Davis,NT,0,0%,349,30.19%,47,10.02%,Raekwon Davis 2024 game-by-game snap counts
Colts,2024,E.J. Speed,LB,0,0%,1010,87.37%,72,15.35%,E.J. Speed 2024 game-by-game snap counts
Colts,2024,Zaire Franklin,LB,0,0%,1156,100.00%,95,20.26%,Zaire Franklin 2024 game-by-game snap counts
Colts,2024,Jaylon Carlies,LB,0,0%,242,20.93%,111,23.67%,Jaylon Carlies 2024 game-by-game snap counts
Colts,2024,Segun Olubi,LB,0,0%,21,1.82%,381,81.24%,Segun Olubi 2024 game-by-game snap counts
Colts,2024,Cameron McGrone,LB,0,0%,1,.09%,156,33.26%,Cameron McGrone 2024 game-by-game snap counts
Colts,2024,Grant Stuard,LB,0,0%,229,19.81%,342,72.92%,Grant Stuard 2024 game-by-game snap counts
Colts,2024,Liam Anderson,LB,0,0%,0,0%,40,8.53%,Liam Anderson 2024 game-by-game snap counts
