Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Cowboys,2024,Trey Lance,QB,98,8.37%,0,0%,0,0%,Trey Lance 2024 game-by-game snap counts
Cowboys,2024,Cooper Rush,QB,572,48.85%,0,0%,0,0%,Cooper Rush 2024 game-by-game snap counts
Cowboys,2024,Hunter Luepke,"FB,RB",328,28.01%,0,0%,171,35.33%,Hunter Luepke 2024 game-by-game snap counts
Cowboys,2024,Ezekiel Elliott,RB,258,22.03%,0,0%,0,0%,Ezekiel Elliott 2024 game-by-game snap counts
Cowboys,2024,Rico Dowdle,RB,636,54.31%,0,0%,0,0%,Rico Dowdle 2024 game-by-game snap counts
Cowboys,2024,Dalvin Cook,RB,24,2.05%,0,0%,0,0%,Dalvin Cook 2024 game-by-game snap counts
Cowboys,2024,Deuce Vaughn,RB,52,4.44%,0,0%,20,4.13%,Deuce Vaughn 2024 game-by-game snap counts
Cowboys,2024,Brandin Cooks,WR,471,40.22%,0,0%,0,0%,Brandin Cooks 2024 game-by-game snap counts
Cowboys,2024,Jalen Tolbert,WR,892,76.17%,0,0%,16,3.31%,Jalen Tolbert 2024 game-by-game snap counts
Cowboys,2024,CeeDee Lamb,WR,826,70.54%,0,0%,2,.41%,CeeDee Lamb 2024 game-by-game snap counts
Cowboys,2024,Jalen Brooks,WR,371,31.68%,0,0%,212,43.80%,Jalen Brooks 2024 game-by-game snap counts
Cowboys,2024,Ryan Flournoy,WR,156,13.32%,0,0%,140,28.93%,Ryan Flournoy 2024 game-by-game snap counts
Cowboys,2024,Jonathan Mingo,WR,164,14.01%,0,0%,12,2.48%,Jonathan Mingo 2024 game-by-game snap counts
Cowboys,2024,KaVontae Turpin,WR,315,26.90%,0,0%,165,34.09%,KaVontae Turpin 2024 game-by-game snap counts
Cowboys,2024,Jalen Moreno-Cropper,WR,12,1.02%,0,0%,3,.62%,Jalen Moreno-Cropper 2024 game-by-game snap counts
Cowboys,2024,Jake Ferguson,TE,616,52.60%,0,0%,0,0%,Jake Ferguson 2024 game-by-game snap counts
Cowboys,2024,Luke Schoonmaker,TE,411,35.10%,0,0%,143,29.55%,Luke Schoonmaker 2024 game-by-game snap counts
Cowboys,2024,Brevyn Spann-Ford,TE,305,26.05%,0,0%,114,23.55%,Brevyn Spann-Ford 2024 game-by-game snap counts
Cowboys,2024,Princeton Fant,TE,14,1.20%,0,0%,148,30.58%,Princeton Fant 2024 game-by-game snap counts
Cowboys,2024,Tyler Guyton,T,670,57.22%,0,0%,61,12.60%,Tyler Guyton 2024 game-by-game snap counts
Cowboys,2024,Tyler Smith,"G,T",1055,90.09%,0,0%,67,13.84%,Tyler Smith 2024 game-by-game snap counts
Cowboys,2024,Terence Steele,T,1171,100.00%,0,0%,57,11.78%,Terence Steele 2024 game-by-game snap counts
Cowboys,2024,Chuma Edoga,T,228,19.47%,0,0%,12,2.48%,Chuma Edoga 2024 game-by-game snap counts
Cowboys,2024,Matt Waletzko,T,12,1.02%,0,0%,27,5.58%,Matt Waletzko 2024 game-by-game snap counts
Cowboys,2024,Cooper Beebe,"C,G",1061,90.61%,0,0%,58,11.98%,Cooper Beebe 2024 game-by-game snap counts
Cowboys,2024,Zack Martin,G,639,54.57%,0,0%,1,.21%,Zack Martin 2024 game-by-game snap counts
Cowboys,2024,Asim Richards,"G,T",181,15.46%,0,0%,61,12.60%,Asim Richards 2024 game-by-game snap counts
Cowboys,2024,T.J. Bass,G,315,26.90%,0,0%,69,14.26%,T.J. Bass 2024 game-by-game snap counts
Cowboys,2024,Dakoda Shepley,C,12,1.02%,0,0%,15,3.10%,Dakoda Shepley 2024 game-by-game snap counts
Cowboys,2024,Brock Hoffman,C,517,44.15%,0,0%,127,26.24%,Brock Hoffman 2024 game-by-game snap counts
Cowboys,2024,DeMarcus Lawrence,DE,0,0%,167,15.13%,0,0%,DeMarcus Lawrence 2024 game-by-game snap counts
Cowboys,2024,Marshawn Kneeland,DE,0,0%,256,23.19%,45,9.30%,Marshawn Kneeland 2024 game-by-game snap counts
Cowboys,2024,K.J. Henry,DE,0,0%,40,3.62%,15,3.10%,K.J. Henry 2024 game-by-game snap counts
Cowboys,2024,Tyrus Wheat,DE,0,0%,165,14.95%,46,9.50%,Tyrus Wheat 2024 game-by-game snap counts
Cowboys,2024,Carl Lawson,DE,0,0%,401,36.32%,74,15.29%,Carl Lawson 2024 game-by-game snap counts
Cowboys,2024,Carlos Watkins,DE,0,0%,225,20.38%,72,14.88%,Carlos Watkins 2024 game-by-game snap counts
Cowboys,2024,Osa Odighizuwa,DT,0,0%,860,77.90%,93,19.21%,Osa Odighizuwa 2024 game-by-game snap counts
Cowboys,2024,Chauncey Golston,"DE,DT",0,0%,791,71.65%,177,36.57%,Chauncey Golston 2024 game-by-game snap counts
Cowboys,2024,Mazi Smith,DT,0,0%,526,47.64%,0,0%,Mazi Smith 2024 game-by-game snap counts
Cowboys,2024,Jordan Phillips,DT,0,0%,34,3.08%,0,0%,Jordan Phillips 2024 game-by-game snap counts
Cowboys,2024,Linval Joseph,NT,0,0%,265,24.00%,1,.21%,Linval Joseph 2024 game-by-game snap counts
Cowboys,2024,Micah Parsons,"DE,LB",0,0%,696,63.04%,37,7.64%,Micah Parsons 2024 game-by-game snap counts
Cowboys,2024,DeMarvion Overshown,LB,0,0%,709,64.22%,31,6.40%,DeMarvion Overshown 2024 game-by-game snap counts
Cowboys,2024,Eric Kendricks,LB,0,0%,920,83.33%,0,0%,Eric Kendricks 2024 game-by-game snap counts
Cowboys,2024,Nick Vigil,LB,0,0%,126,11.41%,291,60.12%,Nick Vigil 2024 game-by-game snap counts
Cowboys,2024,Damone Clark,LB,0,0%,163,14.76%,284,58.68%,Damone Clark 2024 game-by-game snap counts
Cowboys,2024,Marist Liufau,LB,0,0%,521,47.19%,169,34.92%,Marist Liufau 2024 game-by-game snap counts
Cowboys,2024,Buddy Johnson,LB,0,0%,5,.45%,325,67.15%,Buddy Johnson 2024 game-by-game snap counts
Cowboys,2024,Darius Harris,LB,0,0%,0,0%,69,14.26%,Darius Harris 2024 game-by-game snap counts
Cowboys,2024,Trevon Diggs,CB,0,0%,685,62.05%,0,0%,Trevon Diggs 2024 game-by-game snap counts
Cowboys,2024,Jourdan Lewis,CB,0,0%,872,78.99%,1,.21%,Jourdan Lewis 2024 game-by-game snap counts
Cowboys,2024,DaRon Bland,CB,0,0%,436,39.49%,0,0%,DaRon Bland 2024 game-by-game snap counts
Cowboys,2024,Amani Oruwariye,CB,0,0%,286,25.91%,29,5.99%,Amani Oruwariye 2024 game-by-game snap counts
Cowboys,2024,Andrew Booth,CB,0,0%,118,10.69%,50,10.33%,Andrew Booth 2024 game-by-game snap counts
Cowboys,2024,C.J. Goodwin,CB,0,0%,4,.36%,399,82.44%,C.J. Goodwin 2024 game-by-game snap counts
Cowboys,2024,Kemon Hall,CB,0,0%,0,0%,124,25.62%,Kemon Hall 2024 game-by-game snap counts
Cowboys,2024,Josh Butler,CB,0,0%,160,14.49%,23,4.75%,Josh Butler 2024 game-by-game snap counts
Cowboys,2024,Troy Pride Jr.,CB,0,0%,58,5.25%,4,.83%,Troy Pride Jr. 2024 game-by-game snap counts
Cowboys,2024,Donovan Wilson,SS,0,0%,1010,91.49%,0,0%,Donovan Wilson 2024 game-by-game snap counts
Cowboys,2024,Malik Hooker,FS,0,0%,1063,96.29%,0,0%,Malik Hooker 2024 game-by-game snap counts
Cowboys,2024,Israel Mukuamu,FS,0,0%,200,18.12%,346,71.49%,Israel Mukuamu 2024 game-by-game snap counts
Cowboys,2024,Markquese Bell,FS,0,0%,34,3.08%,168,34.71%,Markquese Bell 2024 game-by-game snap counts
Cowboys,2024,Juanyeh Thomas,FS,0,0%,94,8.51%,284,58.68%,Juanyeh Thomas 2024 game-by-game snap counts
Cowboys,2024,Caelen Carson,"CB,DB",0,0%,252,22.83%,11,2.27%,Caelen Carson 2024 game-by-game snap counts
Cowboys,2024,Trent Sieg,LS,0,0%,0,0%,143,29.55%,Trent Sieg 2024 game-by-game snap counts
Cowboys,2024,Brandon Aubrey,K,0,0%,0,0%,167,34.50%,Brandon Aubrey 2024 game-by-game snap counts
Cowboys,2024,Bryan Anger,P,0,0%,0,0%,143,29.55%,Bryan Anger 2024 game-by-game snap counts
Cowboys,2024,Total Snaps,,1171,,1104,,484,,
