Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Dolphins,2024,Tyler Huntley,QB,314,27.59%,0,0%,0,0%,Tyler Huntley 2024 game-by-game snap counts
Dolphins,2024,Tim Boyle,QB,49,4.31%,0,0%,0,0%,Tim Boyle 2024 game-by-game snap counts
Dolphins,2024,Skylar Thompson,QB,58,5.10%,0,0%,0,0%,Skylar Thompson 2024 game-by-game snap counts
Dolphins,2024,De'Von Achane,RB,704,61.86%,0,0%,6,1.35%,De'Von Achane 2024 game-by-game snap counts
Dolphins,2024,Raheem Mostert,RB,278,24.43%,0,0%,34,7.66%,Raheem Mostert 2024 game-by-game snap counts
Dolphins,2024,Jeff Wilson,RB,71,6.24%,0,0%,46,10.36%,Jeff Wilson 2024 game-by-game snap counts
Dolphins,2024,Jaylen Wright,RB,171,15.03%,0,0%,7,1.58%,Jaylen Wright 2024 game-by-game snap counts
Dolphins,2024,Alec Ingold,FB,337,29.61%,0,0%,84,18.92%,Alec Ingold 2024 game-by-game snap counts
Dolphins,2024,Jaylen Waddle,WR,793,69.68%,0,0%,1,.23%,Jaylen Waddle 2024 game-by-game snap counts
Dolphins,2024,Tyreek Hill,WR,906,79.61%,0,0%,9,2.03%,Tyreek Hill 2024 game-by-game snap counts
Dolphins,2024,Braxton Berrios,WR,112,9.84%,0,0%,58,13.06%,Braxton Berrios 2024 game-by-game snap counts
Dolphins,2024,Malik Washington,WR,414,36.38%,0,0%,99,22.30%,Malik Washington 2024 game-by-game snap counts
Dolphins,2024,Tanner Conner,WR,25,2.20%,0,0%,110,24.77%,Tanner Conner 2024 game-by-game snap counts
Dolphins,2024,Grant Dubose,WR,50,4.39%,0,0%,0,0%,Grant Dubose 2024 game-by-game snap counts
Dolphins,2024,Robbie Chosen,WR,29,2.55%,0,0%,0,0%,Robbie Chosen 2024 game-by-game snap counts
Dolphins,2024,Erik Ezukanma,WR,18,1.58%,0,0%,0,0%,Erik Ezukanma 2024 game-by-game snap counts
Dolphins,2024,Odell Beckham Jr.,WR,119,10.46%,0,0%,1,.23%,Odell Beckham Jr. 2024 game-by-game snap counts
Dolphins,2024,D'Wayne Eskridge,WR,37,3.25%,0,0%,25,5.63%,D'Wayne Eskridge 2024 game-by-game snap counts
Dolphins,2024,River Cracraft,WR,120,10.54%,0,0%,23,5.18%,River Cracraft 2024 game-by-game snap counts
Dolphins,2024,Julian Hill,TE,514,45.17%,0,0%,230,51.80%,Julian Hill 2024 game-by-game snap counts
Dolphins,2024,Durham Smythe,TE,364,31.99%,0,0%,134,30.18%,Durham Smythe 2024 game-by-game snap counts
Dolphins,2024,Jonnu Smith,TE,626,55.01%,0,0%,1,.23%,Jonnu Smith 2024 game-by-game snap counts
Dolphins,2024,Jack Stoll,TE,2,.18%,0,0%,33,7.43%,Jack Stoll 2024 game-by-game snap counts
Dolphins,2024,Austin Jackson,T,540,47.45%,0,0%,29,6.53%,Austin Jackson 2024 game-by-game snap counts
Dolphins,2024,Terron Armstead,T,820,72.06%,0,0%,0,0%,Terron Armstead 2024 game-by-game snap counts
Dolphins,2024,Patrick Paul,T,337,29.61%,0,0%,71,15.99%,Patrick Paul 2024 game-by-game snap counts
Dolphins,2024,Jackson Carman,T,68,5.98%,0,0%,41,9.23%,Jackson Carman 2024 game-by-game snap counts
Dolphins,2024,Kendall Lamm,T,511,44.90%,0,0%,63,14.19%,Kendall Lamm 2024 game-by-game snap counts
Dolphins,2024,Ryan Hayes,T,0,0%,0,0%,4,.90%,Ryan Hayes 2024 game-by-game snap counts
Dolphins,2024,Liam Eichenberg,G,1035,90.95%,0,0%,71,15.99%,Liam Eichenberg 2024 game-by-game snap counts
Dolphins,2024,Robert Jones,G,1078,94.73%,0,0%,68,15.32%,Robert Jones 2024 game-by-game snap counts
Dolphins,2024,Aaron Brewer,G,1138,100.00%,0,0%,0,0%,Aaron Brewer 2024 game-by-game snap counts
Dolphins,2024,Lester Cotton,G,60,5.27%,0,0%,46,10.36%,Lester Cotton 2024 game-by-game snap counts
Dolphins,2024,Isaiah Wynn,G,103,9.05%,0,0%,25,5.63%,Isaiah Wynn 2024 game-by-game snap counts
