Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Eagles,2024,Tanner McKee,QB,89,7.69%,0,0%,0,0%,Tanner McKee 2024 game-by-game snap counts
Eagles,2024,Kenny Pickett,QB,134,11.58%,0,0%,0,0%,Kenny Pickett 2024 game-by-game snap counts
Eagles,2024,Saquon Barkley,RB,801,69.23%,0,0%,0,0%,Saquon Barkley 2024 game-by-game snap counts
Eagles,2024,Kenneth Gainwell,RB,301,26.02%,0,0%,114,25.45%,Kenneth Gainwell 2024 game-by-game snap counts
Eagles,2024,Will Shipley,RB,65,5.62%,0,0%,244,54.46%,Will Shipley 2024 game-by-game snap counts
Eagles,2024,Tyrion Davis-Price,RB,5,.43%,0,0%,0,0%,Tyrion Davis-Price 2024 game-by-game snap counts
Eagles,2024,Khari Blasingame,FB,2,.17%,0,0%,50,11.16%,Khari Blasingame 2024 game-by-game snap counts
Eagles,2024,DeVonta Smith,WR,801,69.23%,0,0%,1,.22%,DeVonta Smith 2024 game-by-game snap counts
Eagles,2024,A.J. Brown,WR,766,66.21%,0,0%,3,.67%,A.J. Brown 2024 game-by-game snap counts
Eagles,2024,Jahan Dotson,WR,674,58.25%,0,0%,5,1.12%,Jahan Dotson 2024 game-by-game snap counts
Eagles,2024,Johnny Wilson,WR,369,31.89%,0,0%,98,21.88%,Johnny Wilson 2024 game-by-game snap counts
Eagles,2024,Parris Campbell,WR,140,12.10%,0,0%,9,2.01%,Parris Campbell 2024 game-by-game snap counts
Eagles,2024,Britain Covey,WR,50,4.32%,0,0%,15,3.35%,Britain Covey 2024 game-by-game snap counts
Eagles,2024,John Ross,WR,12,1.04%,0,0%,0,0%,John Ross 2024 game-by-game snap counts
Eagles,2024,Ainias Smith,WR,96,8.30%,0,0%,4,.89%,Ainias Smith 2024 game-by-game snap counts
Eagles,2024,Dallas Goedert,TE,446,38.55%,0,0%,3,.67%,Dallas Goedert 2024 game-by-game snap counts
Eagles,2024,Grant Calcaterra,TE,766,66.21%,0,0%,81,18.08%,Grant Calcaterra 2024 game-by-game snap counts
Eagles,2024,Jack Stoll,TE,201,17.37%,0,0%,88,19.64%,Jack Stoll 2024 game-by-game snap counts
Eagles,2024,E.J. Jenkins,TE,95,8.21%,0,0%,91,20.31%,E.J. Jenkins 2024 game-by-game snap counts
Eagles,2024,C.J. Uzomah,TE,132,11.41%,0,0%,28,6.25%,C.J. Uzomah 2024 game-by-game snap counts
Eagles,2024,Jordan Mailata,T,802,69.32%,0,0%,62,13.84%,Jordan Mailata 2024 game-by-game snap counts
Eagles,2024,Mekhi Becton,T,903,78.05%,0,0%,68,15.18%,Mekhi Becton 2024 game-by-game snap counts
Eagles,2024,Lane Johnson,T,937,80.99%,0,0%,0,0%,Lane Johnson 2024 game-by-game snap counts
Eagles,2024,Darian Kinnard,T,71,6.14%,0,0%,12,2.68%,Darian Kinnard 2024 game-by-game snap counts
Eagles,2024,Fred Johnson,T,481,41.57%,0,0%,89,19.87%,Fred Johnson 2024 game-by-game snap counts
Eagles,2024,Jack Driscoll,T,110,9.51%,0,0%,76,16.96%,Jack Driscoll 2024 game-by-game snap counts
Eagles,2024,Landon Dickerson,G,996,86.08%,0,0%,80,17.86%,Landon Dickerson 2024 game-by-game snap counts
Eagles,2024,Cam Jurgens,G,1068,92.31%,0,0%,14,3.13%,Cam Jurgens 2024 game-by-game snap counts
Eagles,2024,Trevor Keegan,G,35,3.03%,0,0%,5,1.12%,Trevor Keegan 2024 game-by-game snap counts
Eagles,2024,Tyler Steen,G,316,27.31%,0,0%,89,19.87%,Tyler Steen 2024 game-by-game snap counts
Eagles,2024,Nick Gates,C,96,8.30%,0,0%,39,8.71%,Nick Gates 2024 game-by-game snap counts
Eagles,2024,Brandon Graham,DE,0,0%,311,29.70%,40,8.93%,Brandon Graham 2024 game-by-game snap counts
Eagles,2024,Bryce Huff,DE,0,0%,285,27.22%,8,1.79%,Bryce Huff 2024 game-by-game snap counts
Eagles,2024,Charles Harris,DE,0,0%,52,4.97%,13,2.90%,Charles Harris 2024 game-by-game snap counts
Eagles,2024,Jalen Carter,DT,0,0%,831,79.37%,62,13.84%,Jalen Carter 2024 game-by-game snap counts
Eagles,2024,Jordan Davis,DT,0,0%,388,37.06%,145,32.37%,Jordan Davis 2024 game-by-game snap counts
Eagles,2024,Milton Williams,DT,0,0%,501,47.85%,62,13.84%,Milton Williams 2024 game-by-game snap counts
Eagles,2024,Moro Ojomo,DT,0,0%,388,37.06%,71,15.85%,Moro Ojomo 2024 game-by-game snap counts
Eagles,2024,Thomas Booker,DT,0,0%,166,15.85%,32,7.14%,Thomas Booker 2024 game-by-game snap counts
Eagles,2024,Zack Baun,LB,0,0%,939,89.68%,65,14.51%,Zack Baun 2024 game-by-game snap counts
