Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Falcons,2024,Michael Penix,QB,230,20.12%,0,0%,0,0%,Michael Penix 2024 game-by-game snap counts
Falcons,2024,Bijan Robinson,RB,861,75.33%,0,0%,0,0%,Bijan Robinson 2024 game-by-game snap counts
Falcons,2024,Avery Williams,RB,10,.87%,0,0%,364,81.61%,Avery Williams 2024 game-by-game snap counts
Falcons,2024,Tyler Allgeier,RB,287,25.11%,0,0%,204,45.74%,Tyler Allgeier 2024 game-by-game snap counts
Falcons,2024,Carlos Washington,RB,0,0%,0,0%,11,2.47%,Carlos Washington 2024 game-by-game snap counts
Falcons,2024,Jase McClellan,RB,19,1.66%,0,0%,8,1.79%,Jase McClellan 2024 game-by-game snap counts
Falcons,2024,Drake London,WR,1032,90.29%,0,0%,0,0%,Drake London 2024 game-by-game snap counts
Falcons,2024,Darnell Mooney,WR,988,86.44%,0,0%,1,.22%,Darnell Mooney 2024 game-by-game snap counts
Falcons,2024,Ray-Ray McCloud,WR,981,85.83%,0,0%,82,18.39%,Ray-Ray McCloud 2024 game-by-game snap counts
Falcons,2024,KhaDarel Hodge,WR,231,20.21%,0,0%,241,54.04%,KhaDarel Hodge 2024 game-by-game snap counts
Falcons,2024,Chris Blair,WR,27,2.36%,0,0%,20,4.48%,Chris Blair 2024 game-by-game snap counts
Falcons,2024,Casey Washington,WR,9,.79%,0,0%,47,10.54%,Casey Washington 2024 game-by-game snap counts
Falcons,2024,Kyle Pitts,TE,707,61.85%,0,0%,1,.22%,Kyle Pitts 2024 game-by-game snap counts
Falcons,2024,Charlie Woerner,TE,457,39.98%,0,0%,240,53.81%,Charlie Woerner 2024 game-by-game snap counts
Falcons,2024,Ross Dwelley,TE,105,9.19%,0,0%,166,37.22%,Ross Dwelley 2024 game-by-game snap counts
Falcons,2024,Jake Matthews,T,1118,97.81%,0,0%,82,18.39%,Jake Matthews 2024 game-by-game snap counts
Falcons,2024,Kaleb McGary,T,1041,91.08%,0,0%,74,16.59%,Kaleb McGary 2024 game-by-game snap counts
Falcons,2024,Storm Norton,T,127,11.11%,0,0%,82,18.39%,Storm Norton 2024 game-by-game snap counts
Falcons,2024,Matthew Bergeron,G,1105,96.68%,0,0%,81,18.16%,Matthew Bergeron 2024 game-by-game snap counts
Falcons,2024,Chris Lindstrom,G,1099,96.15%,0,0%,68,15.25%,Chris Lindstrom 2024 game-by-game snap counts
Falcons,2024,Elijah Wilkinson,G,1,.09%,0,0%,8,1.79%,Elijah Wilkinson 2024 game-by-game snap counts
Falcons,2024,Kyle Hinton,G,82,7.17%,0,0%,82,18.39%,Kyle Hinton 2024 game-by-game snap counts
Falcons,2024,Jovaughn Gwyn,G,0,0%,0,0%,2,.45%,Jovaughn Gwyn 2024 game-by-game snap counts
Falcons,2024,Drew Dalman,C,554,48.47%,0,0%,0,0%,Drew Dalman 2024 game-by-game snap counts
Falcons,2024,Matt Hennessy,C,12,1.05%,0,0%,18,4.04%,Matt Hennessy 2024 game-by-game snap counts
Falcons,2024,Ryan Neuzil,C,577,50.48%,0,0%,75,16.82%,Ryan Neuzil 2024 game-by-game snap counts
Falcons,2024,James Smith-Williams,DE,0,0%,306,27.49%,1,.22%,James Smith-Williams 2024 game-by-game snap counts
Falcons,2024,Demone Harris,DE,0,0%,216,19.41%,11,2.47%,Demone Harris 2024 game-by-game snap counts
Falcons,2024,Zach Harrison,DE,0,0%,268,24.08%,125,28.03%,Zach Harrison 2024 game-by-game snap counts
Falcons,2024,Ta'Quon Graham,DE,0,0%,193,17.34%,42,9.42%,Ta'Quon Graham 2024 game-by-game snap counts
Falcons,2024,Ruke Orhorhoro,DE,0,0%,148,13.30%,19,4.26%,Ruke Orhorhoro 2024 game-by-game snap counts
Falcons,2024,Brandon Dorlus,DE,0,0%,19,1.71%,6,1.35%,Brandon Dorlus 2024 game-by-game snap counts
Falcons,2024,Khalid Kareem,DE,0,0%,32,2.88%,22,4.93%,Khalid Kareem 2024 game-by-game snap counts
Falcons,2024,David Onyemata,DT,0,0%,567,50.94%,80,17.94%,David Onyemata 2024 game-by-game snap counts
Falcons,2024,Grady Jarrett,DT,0,0%,744,66.85%,0,0%,Grady Jarrett 2024 game-by-game snap counts
Falcons,2024,Kentavius Street,DT,0,0%,280,25.16%,45,10.09%,Kentavius Street 2024 game-by-game snap counts
Falcons,2024,Eddie Goldman,NT,0,0%,331,29.74%,38,8.52%,Eddie Goldman 2024 game-by-game snap counts
Falcons,2024,Kaden Elliss,LB,0,0%,1095,98.38%,36,8.07%,Kaden Elliss 2024 game-by-game snap counts
Falcons,2024,Troy Andersen,LB,0,0%,285,25.61%,56,12.56%,Troy Andersen 2024 game-by-game snap counts
Falcons,2024,Matt Judon,LB,0,0%,655,58.85%,0,0%,Matt Judon 2024 game-by-game snap counts
Falcons,2024,Nathan Landman,LB,0,0%,544,48.88%,71,15.92%,Nathan Landman 2024 game-by-game snap counts
Falcons,2024,Lorenzo Carter,LB,0,0%,409,36.75%,51,11.43%,Lorenzo Carter 2024 game-by-game snap counts
Falcons,2024,DeAngelo Malone,LB,0,0%,90,8.09%,363,81.39%,DeAngelo Malone 2024 game-by-game snap counts
Falcons,2024,JD Bertrand,LB,0,0%,157,14.11%,238,53.36%,JD Bertrand 2024 game-by-game snap counts
Falcons,2024,Arnold Ebiketie,LB,0,0%,543,48.79%,37,8.30%,Arnold Ebiketie 2024 game-by-game snap counts
Falcons,2024,Josh Woods,LB,0,0%,0,0%,89,19.96%,Josh Woods 2024 game-by-game snap counts
Falcons,2024,Rashaan Evans,LB,0,0%,1,.09%,5,1.12%,Rashaan Evans 2024 game-by-game snap counts
Falcons,2024,AJ Terrell,CB,0,0%,1085,97.48%,0,0%,AJ Terrell 2024 game-by-game snap counts
Falcons,2024,Mike Hughes,CB,0,0%,720,64.69%,24,5.38%,Mike Hughes 2024 game-by-game snap counts
Falcons,2024,DeAundre Alford,CB,0,0%,723,64.96%,43,9.64%,DeAundre Alford 2024 game-by-game snap counts
Falcons,2024,Antonio Hamilton,CB,0,0%,39,3.50%,166,37.22%,Antonio Hamilton 2024 game-by-game snap counts
Falcons,2024,Natrone Brooks,CB,0,0%,40,3.59%,160,35.87%,Natrone Brooks 2024 game-by-game snap counts
Falcons,2024,Clark Phillips,CB,0,0%,407,36.57%,100,22.42%,Clark Phillips 2024 game-by-game snap counts
Falcons,2024,Kevin King,CB,0,0%,71,6.38%,161,36.10%,Kevin King 2024 game-by-game snap counts
Falcons,2024,Lamar Jackson,CB,0,0%,0,0%,18,4.04%,Lamar Jackson 2024 game-by-game snap counts
Falcons,2024,Richie Grant,SS,0,0%,162,14.56%,349,78.25%,Richie Grant 2024 game-by-game snap counts
Falcons,2024,Dane Cruikshank,SS,0,0%,0,0%,37,8.30%,Dane Cruikshank 2024 game-by-game snap counts
Falcons,2024,Jessie Bates III,FS,0,0%,1095,98.38%,8,1.79%,Jessie Bates III 2024 game-by-game snap counts
Falcons,2024,Justin Simmons,FS,0,0%,1017,91.37%,6,1.35%,Justin Simmons 2024 game-by-game snap counts
Falcons,2024,Micah Abernathy,FS,0,0%,0,0%,110,24.66%,Micah Abernathy 2024 game-by-game snap counts
Falcons,2024,Liam McCullough,LS,0,0%,0,0%,130,29.15%,Liam McCullough 2024 game-by-game snap counts
Falcons,2024,Riley Patterson,K,0,0%,0,0%,20,4.48%,Riley Patterson 2024 game-by-game snap counts
Falcons,2024,Younghoe Koo,K,0,0%,0,0%,77,17.26%,Younghoe Koo 2024 game-by-game snap counts
Falcons,2024,Bradley Pinion,P,0,0%,0,0%,205,45.96%,Bradley Pinion 2024 game-by-game snap counts
Falcons,2024,Total Snaps,,1143,,1113,,446,,
