Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Jets,2024,Tyrod Taylor,QB,36,3.38%,0,0%,0,0%,Tyrod Taylor 2024 game-by-game snap counts
Jets,2024,Breece Hall,RB,720,67.54%,0,0%,0,0%,Breece Hall 2024 game-by-game snap counts
Jets,2024,Braelon Allen,RB,283,26.55%,0,0%,165,38.19%,Braelon Allen 2024 game-by-game snap counts
Jets,2024,Isaiah Davis,RB,110,10.32%,0,0%,263,60.88%,Isaiah Davis 2024 game-by-game snap counts
Jets,2024,Kene Nwangwu,RB,1,.09%,0,0%,29,6.71%,Kene Nwangwu 2024 game-by-game snap counts
Jets,2024,Davante Adams,WR,614,57.60%,0,0%,1,.23%,Davante Adams 2024 game-by-game snap counts
Jets,2024,Allen Lazard,WR,649,60.88%,0,0%,1,.23%,Allen Lazard 2024 game-by-game snap counts
Jets,2024,Garrett Wilson,WR,1025,96.15%,0,0%,1,.23%,Garrett Wilson 2024 game-by-game snap counts
Jets,2024,Xavier Gipson,WR,182,17.07%,1,.09%,152,35.19%,Xavier Gipson 2024 game-by-game snap counts
Jets,2024,Irvin Charles,WR,10,.94%,0,0%,214,49.54%,Irvin Charles 2024 game-by-game snap counts
Jets,2024,Mike Williams,WR,301,28.24%,0,0%,0,0%,Mike Williams 2024 game-by-game snap counts
Jets,2024,Brandon Smith,WR,1,.09%,0,0%,0,0%,Brandon Smith 2024 game-by-game snap counts
Jets,2024,Malachi Corley,WR,83,7.79%,0,0%,8,1.85%,Malachi Corley 2024 game-by-game snap counts
Jets,2024,Tyler Conklin,TE,805,75.52%,0,0%,17,3.94%,Tyler Conklin 2024 game-by-game snap counts
Jets,2024,Jeremy Ruckert,TE,393,36.87%,0,0%,200,46.30%,Jeremy Ruckert 2024 game-by-game snap counts
Jets,2024,Kenny Yeboah,TE,106,9.94%,0,0%,169,39.12%,Kenny Yeboah 2024 game-by-game snap counts
Jets,2024,Anthony Firkser,TE,9,.84%,0,0%,61,14.12%,Anthony Firkser 2024 game-by-game snap counts
Jets,2024,Zack Kuntz,TE,1,.09%,0,0%,6,1.39%,Zack Kuntz 2024 game-by-game snap counts
Jets,2024,Brenden Bates,TE,26,2.44%,0,0%,29,6.71%,Brenden Bates 2024 game-by-game snap counts
Jets,2024,Morgan Moses,T,722,67.73%,0,0%,26,6.02%,Morgan Moses 2024 game-by-game snap counts
Jets,2024,Tyron Smith,T,592,55.53%,0,0%,5,1.16%,Tyron Smith 2024 game-by-game snap counts
Jets,2024,Max Mitchell,T,224,21.01%,0,0%,36,8.33%,Max Mitchell 2024 game-by-game snap counts
Jets,2024,Carter Warren,T,141,13.23%,0,0%,11,2.55%,Carter Warren 2024 game-by-game snap counts
Jets,2024,Olumuyiwa Fashanu,T,533,50.00%,0,0%,51,11.81%,Olumuyiwa Fashanu 2024 game-by-game snap counts
Jets,2024,Jaylin Simpson,G,68,6.38%,0,0%,6,1.39%,Jaylin Simpson 2024 game-by-game snap counts
Jets,2024,John Simpson,G,951,89.21%,0,0%,51,11.81%,John Simpson 2024 game-by-game snap counts
Jets,2024,Alijah Vera-Tucker,G,915,85.83%,0,0%,6,1.39%,Alijah Vera-Tucker 2024 game-by-game snap counts
Jets,2024,Zack Bailey,G,9,.84%,0,0%,0,0%,Zack Bailey 2024 game-by-game snap counts
Jets,2024,Wes Schweitzer,G,1,.09%,0,0%,18,4.17%,Wes Schweitzer 2024 game-by-game snap counts
Jets,2024,Xavier Newman-Johnson,G,11,1.03%,0,0%,31,7.18%,Xavier Newman-Johnson 2024 game-by-game snap counts
Jets,2024,Joe Tippmann,C,1066,100.00%,0,0%,60,13.89%,Joe Tippmann 2024 game-by-game snap counts
