Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Lions,2024,Hendon Hooker,QB,33,2.88%,0,0%,0,0%,Hendon Hooker 2024 game-by-game snap counts
Lions,2024,Jahmyr Gibbs,RB,639,55.71%,0,0%,0,0%,Jahmyr Gibbs 2024 game-by-game snap counts
Lions,2024,David Montgomery,RB,390,34.00%,0,0%,0,0%,David Montgomery 2024 game-by-game snap counts
Lions,2024,Sione Vaki,RB,26,2.27%,0,0%,310,67.25%,Sione Vaki 2024 game-by-game snap counts
Lions,2024,Craig Reynolds,RB,96,8.37%,0,0%,272,59.00%,Craig Reynolds 2024 game-by-game snap counts
Lions,2024,Jermar Jefferson,RB,12,1.05%,0,0%,7,1.52%,Jermar Jefferson 2024 game-by-game snap counts
Lions,2024,Amon-Ra St. Brown,WR,1010,88.06%,0,0%,5,1.08%,Amon-Ra St. Brown 2024 game-by-game snap counts
Lions,2024,Jameson Williams,WR,826,72.01%,0,0%,0,0%,Jameson Williams 2024 game-by-game snap counts
Lions,2024,Kalif Raymond,WR,211,18.40%,0,0%,91,19.74%,Kalif Raymond 2024 game-by-game snap counts
Lions,2024,Tim Patrick,WR,641,55.88%,0,0%,0,0%,Tim Patrick 2024 game-by-game snap counts
Lions,2024,Tom Kennedy,WR,16,1.39%,0,0%,20,4.34%,Tom Kennedy 2024 game-by-game snap counts
Lions,2024,Maurice Alexander,WR,0,0%,0,0%,17,3.69%,Maurice Alexander 2024 game-by-game snap counts
Lions,2024,Isaiah Williams,WR,8,.70%,0,0%,6,1.30%,Isaiah Williams 2024 game-by-game snap counts
Lions,2024,Allen Robinson,WR,91,7.93%,0,0%,0,0%,Allen Robinson 2024 game-by-game snap counts
Lions,2024,Sam LaPorta,TE,910,79.34%,0,0%,2,.43%,Sam LaPorta 2024 game-by-game snap counts
Lions,2024,Brock Wright,TE,583,50.83%,0,0%,142,30.80%,Brock Wright 2024 game-by-game snap counts
Lions,2024,James Mitchell,TE,25,2.18%,0,0%,0,0%,James Mitchell 2024 game-by-game snap counts
Lions,2024,Parker Hesse,TE,59,5.14%,0,0%,61,13.23%,Parker Hesse 2024 game-by-game snap counts
Lions,2024,Shane Zylstra,TE,109,9.50%,0,0%,194,42.08%,Shane Zylstra 2024 game-by-game snap counts
Lions,2024,Penei Sewell,T,1145,99.83%,0,0%,96,20.82%,Penei Sewell 2024 game-by-game snap counts
Lions,2024,Taylor Decker,T,895,78.03%,0,0%,0,0%,Taylor Decker 2024 game-by-game snap counts
Lions,2024,Dan Skipper,T,323,28.16%,0,0%,108,23.43%,Dan Skipper 2024 game-by-game snap counts
Lions,2024,Kayode Awosika,"G,T",147,12.82%,0,0%,62,13.45%,Kayode Awosika 2024 game-by-game snap counts
Lions,2024,Michael Niese,T,35,3.05%,0,0%,96,20.82%,Michael Niese 2024 game-by-game snap counts
Lions,2024,Graham Glasgow,G,1081,94.25%,0,0%,88,19.09%,Graham Glasgow 2024 game-by-game snap counts
Lions,2024,Kevin Zeitler,G,1048,91.37%,0,0%,91,19.74%,Kevin Zeitler 2024 game-by-game snap counts
Lions,2024,Colby Sorsdal,G,0,0%,0,0%,5,1.08%,Colby Sorsdal 2024 game-by-game snap counts
Lions,2024,Christian Mahogany,G,75,6.54%,0,0%,41,8.89%,Christian Mahogany 2024 game-by-game snap counts
Lions,2024,Jamarco Jones,G,4,.35%,0,0%,0,0%,Jamarco Jones 2024 game-by-game snap counts
Lions,2024,Frank Ragnow,C,1060,92.41%,0,0%,1,.22%,Frank Ragnow 2024 game-by-game snap counts
Lions,2024,Aidan Hutchinson,DE,0,0%,280,25.55%,3,.65%,Aidan Hutchinson 2024 game-by-game snap counts
Lions,2024,Levi Onwuzurike,DE,0,0%,635,57.94%,63,13.67%,Levi Onwuzurike 2024 game-by-game snap counts
Lions,2024,Al-Quadin Muhammad,DE,0,0%,255,23.27%,19,4.12%,Al-Quadin Muhammad 2024 game-by-game snap counts
Lions,2024,Isaac Ukwu,DE,0,0%,70,6.39%,2,.43%,Isaac Ukwu 2024 game-by-game snap counts
Lions,2024,Za'Darius Smith,DE,0,0%,291,26.55%,2,.43%,Za'Darius Smith 2024 game-by-game snap counts
Lions,2024,Jonah Williams,DE,0,0%,36,3.28%,9,1.95%,Jonah Williams 2024 game-by-game snap counts
Lions,2024,Josh Paschal,DE,0,0%,549,50.09%,7,1.52%,Josh Paschal 2024 game-by-game snap counts
Lions,2024,Myles Adams,DE,0,0%,46,4.20%,0,0%,Myles Adams 2024 game-by-game snap counts
Lions,2024,Pat O'Connor,DE,0,0%,236,21.53%,160,34.71%,Pat O'Connor 2024 game-by-game snap counts
Lions,2024,James Houston,DE,0,0%,116,10.58%,68,14.75%,James Houston 2024 game-by-game snap counts
Lions,2024,Alim McNeill,DT,0,0%,632,57.66%,48,10.41%,Alim McNeill 2024 game-by-game snap counts
Lions,2024,Kyle Peko,DT,0,0%,86,7.85%,9,1.95%,Kyle Peko 2024 game-by-game snap counts
Lions,2024,Mekhi Wingo,DT,0,0%,176,16.06%,44,9.54%,Mekhi Wingo 2024 game-by-game snap counts
Lions,2024,Chris Smith,DT,0,0%,47,4.29%,3,.65%,Chris Smith 2024 game-by-game snap counts
Lions,2024,Brodric Martin,DT,0,0%,25,2.28%,0,0%,Brodric Martin 2024 game-by-game snap counts
Lions,2024,D.J. Reader,NT,0,0%,508,46.35%,5,1.08%,D.J. Reader 2024 game-by-game snap counts
Lions,2024,Alex Anzalone,LB,0,0%,608,55.47%,3,.65%,Alex Anzalone 2024 game-by-game snap counts
Lions,2024,Derrick Barnes,LB,0,0%,120,10.95%,27,5.86%,Derrick Barnes 2024 game-by-game snap counts
Lions,2024,Jack Campbell,LB,0,0%,974,88.87%,83,18.00%,Jack Campbell 2024 game-by-game snap counts
Lions,2024,Marcus Davenport,LB,0,0%,89,8.12%,10,2.17%,Marcus Davenport 2024 game-by-game snap counts
Lions,2024,Isaiah Thomas,LB,0,0%,46,4.20%,0,0%,Isaiah Thomas 2024 game-by-game snap counts
Lions,2024,Malcolm Rodriguez,LB,0,0%,318,29.01%,142,30.80%,Malcolm Rodriguez 2024 game-by-game snap counts
Lions,2024,Anthony Pittman,LB,0,0%,15,1.37%,56,12.15%,Anthony Pittman 2024 game-by-game snap counts
Lions,2024,Zeke Turner,LB,0,0%,111,10.13%,176,38.18%,Zeke Turner 2024 game-by-game snap counts
Lions,2024,Jalen Reeves-Maybin,LB,0,0%,159,14.51%,210,45.55%,Jalen Reeves-Maybin 2024 game-by-game snap counts
Lions,2024,Mitchell Agude,LB,0,0%,40,3.65%,55,11.93%,Mitchell Agude 2024 game-by-game snap counts
Lions,2024,David Long,LB,0,0%,70,6.39%,58,12.58%,David Long 2024 game-by-game snap counts
Lions,2024,Ben Niemann,LB,0,0%,179,16.33%,295,63.99%,Ben Niemann 2024 game-by-game snap counts
Lions,2024,Kwon Alexander,LB,0,0%,29,2.65%,0,0%,Kwon Alexander 2024 game-by-game snap counts
Lions,2024,Trevor Nowaske,LB,0,0%,332,30.29%,260,56.40%,Trevor Nowaske 2024 game-by-game snap counts
Lions,2024,Abraham Beauplan,LB,0,0%,0,0%,46,9.98%,Abraham Beauplan 2024 game-by-game snap counts
Lions,2024,Carlton Davis,CB,0,0%,697,63.59%,7,1.52%,Carlton Davis 2024 game-by-game snap counts
Lions,2024,Terrion Arnold,CB,0,0%,948,86.50%,9,1.95%,Terrion Arnold 2024 game-by-game snap counts
Lions,2024,Ifeatu Melifonwu,CB,0,0%,137,12.50%,6,1.30%,Ifeatu Melifonwu 2024 game-by-game snap counts
Lions,2024,Amik Robertson,CB,0,0%,629,57.39%,12,2.60%,Amik Robertson 2024 game-by-game snap counts
Lions,2024,Khalil Dorsey,CB,0,0%,73,6.66%,272,59.00%,Khalil Dorsey 2024 game-by-game snap counts
