Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Panthers,2024,Andy Dalton,QB,306,29.59%,0,0%,0,0%,Andy Dalton 2024 game-by-game snap counts
Panthers,2024,Chuba Hubbard,RB,712,68.86%,0,0%,0,0%,Chuba Hubbard 2024 game-by-game snap counts
Panthers,2024,Mike Boone,RB,43,4.16%,0,0%,63,13.18%,Mike Boone 2024 game-by-game snap counts
Panthers,2024,Miles Sanders,RB,224,21.66%,0,0%,4,.84%,Miles Sanders 2024 game-by-game snap counts
Panthers,2024,Raheem Blackshear,RB,61,5.90%,0,0%,179,37.45%,Raheem Blackshear 2024 game-by-game snap counts
Panthers,2024,Jonathon Brooks,RB,23,2.22%,0,0%,0,0%,Jonathon Brooks 2024 game-by-game snap counts
Panthers,2024,Xavier Legette,WR,680,65.76%,0,0%,77,16.11%,Xavier Legette 2024 game-by-game snap counts
Panthers,2024,Jonathan Mingo,WR,298,28.82%,0,0%,71,14.85%,Jonathan Mingo 2024 game-by-game snap counts
Panthers,2024,Adam Thielen,WR,429,41.49%,0,0%,0,0%,Adam Thielen 2024 game-by-game snap counts
Panthers,2024,Diontae Johnson,WR,337,32.59%,0,0%,0,0%,Diontae Johnson 2024 game-by-game snap counts
Panthers,2024,David Moore,WR,568,54.93%,0,0%,52,10.88%,David Moore 2024 game-by-game snap counts
Panthers,2024,Jalen Coker,WR,430,41.59%,0,0%,31,6.49%,Jalen Coker 2024 game-by-game snap counts
Panthers,2024,Dan Chisena,WR,19,1.84%,0,0%,81,16.95%,Dan Chisena 2024 game-by-game snap counts
Panthers,2024,Deven Thompkins,WR,51,4.93%,0,0%,23,4.81%,Deven Thompkins 2024 game-by-game snap counts
Panthers,2024,Velus Jones Jr.,"RB,WR",3,.29%,0,0%,14,2.93%,Velus Jones Jr. 2024 game-by-game snap counts
Panthers,2024,Ja'Tavion Sanders,TE,531,51.35%,0,0%,109,22.80%,Ja'Tavion Sanders 2024 game-by-game snap counts
Panthers,2024,Jordan Matthews,TE,26,2.51%,0,0%,61,12.76%,Jordan Matthews 2024 game-by-game snap counts
Panthers,2024,Ian Thomas,TE,94,9.09%,0,0%,9,1.88%,Ian Thomas 2024 game-by-game snap counts
Panthers,2024,Tommy Tremble,TE,519,50.19%,0,0%,27,5.65%,Tommy Tremble 2024 game-by-game snap counts
Panthers,2024,Feleipe Franks,TE,45,4.35%,0,0%,305,63.81%,Feleipe Franks 2024 game-by-game snap counts
Panthers,2024,Stephen Sullivan,TE,8,.77%,0,0%,9,1.88%,Stephen Sullivan 2024 game-by-game snap counts
Panthers,2024,Ikem Ekwonu,T,910,88.01%,0,0%,53,11.09%,Ikem Ekwonu 2024 game-by-game snap counts
Panthers,2024,Taylor Moton,T,847,81.91%,0,0%,52,10.88%,Taylor Moton 2024 game-by-game snap counts
Panthers,2024,Yosh Nijman,T,187,18.09%,0,0%,65,13.60%,Yosh Nijman 2024 game-by-game snap counts
Panthers,2024,Jarrett Kingston,T,1,.10%,0,0%,24,5.02%,Jarrett Kingston 2024 game-by-game snap counts
Panthers,2024,Robert Hunt,G,967,93.52%,0,0%,55,11.51%,Robert Hunt 2024 game-by-game snap counts
