Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Rams,2024,Jimmy Garoppolo,QB,66,6.06%,0,0%,0,0%,Jimmy Garoppolo 2024 game-by-game snap counts
Rams,2024,Kyren Williams,RB,888,81.47%,0,0%,7,1.59%,Kyren Williams 2024 game-by-game snap counts
Rams,2024,Cody Schrader,RB,2,.18%,0,0%,10,2.27%,Cody Schrader 2024 game-by-game snap counts
Rams,2024,Ronnie Rivers,RB,81,7.43%,0,0%,248,56.36%,Ronnie Rivers 2024 game-by-game snap counts
Rams,2024,Blake Corum,RB,119,10.92%,0,0%,186,42.27%,Blake Corum 2024 game-by-game snap counts
Rams,2024,Cooper Kupp,WR,637,58.44%,0,0%,2,.45%,Cooper Kupp 2024 game-by-game snap counts
Rams,2024,Demarcus Robinson,WR,892,81.83%,0,0%,0,0%,Demarcus Robinson 2024 game-by-game snap counts
Rams,2024,Tyler Johnson,WR,361,33.12%,0,0%,6,1.36%,Tyler Johnson 2024 game-by-game snap counts
Rams,2024,Puka Nacua,WR,487,44.68%,0,0%,2,.45%,Puka Nacua 2024 game-by-game snap counts
Rams,2024,Jordan Whittington,WR,278,25.50%,0,0%,172,39.09%,Jordan Whittington 2024 game-by-game snap counts
Rams,2024,Xavier Smith,WR,33,3.03%,0,0%,161,36.59%,Xavier Smith 2024 game-by-game snap counts
Rams,2024,Tutu Atwell,WR,425,38.99%,0,0%,2,.45%,Tutu Atwell 2024 game-by-game snap counts
Rams,2024,Colby Parkinson,TE,601,55.14%,0,0%,66,15.00%,Colby Parkinson 2024 game-by-game snap counts
Rams,2024,Davis Allen,TE,309,28.35%,0,0%,116,26.36%,Davis Allen 2024 game-by-game snap counts
Rams,2024,Nikola Kalinic,TE,0,0%,0,0%,28,6.36%,Nikola Kalinic 2024 game-by-game snap counts
Rams,2024,Tyler Higbee,TE,58,5.32%,0,0%,0,0%,Tyler Higbee 2024 game-by-game snap counts
Rams,2024,Hunter Long,TE,279,25.60%,0,0%,263,59.77%,Hunter Long 2024 game-by-game snap counts
Rams,2024,Warren McClendon,T,331,30.37%,0,0%,52,11.82%,Warren McClendon 2024 game-by-game snap counts
Rams,2024,Alaric Jackson,T,894,82.02%,0,0%,59,13.41%,Alaric Jackson 2024 game-by-game snap counts
Rams,2024,AJ Arcuri,T,51,4.68%,0,0%,8,1.82%,AJ Arcuri 2024 game-by-game snap counts
Rams,2024,Rob Havenstein,T,684,62.75%,0,0%,42,9.55%,Rob Havenstein 2024 game-by-game snap counts
Rams,2024,Joseph Noteboom,T,220,20.18%,0,0%,1,.23%,Joseph Noteboom 2024 game-by-game snap counts
Rams,2024,Geron Christian,T,0,0%,0,0%,2,.45%,Geron Christian 2024 game-by-game snap counts
Rams,2024,Kevin Dotson,G,1024,93.94%,0,0%,63,14.32%,Kevin Dotson 2024 game-by-game snap counts
Rams,2024,Jonah Jackson,"C,G",266,24.40%,0,0%,10,2.27%,Jonah Jackson 2024 game-by-game snap counts
Rams,2024,Steve Avila,G,596,54.68%,0,0%,41,9.32%,Steve Avila 2024 game-by-game snap counts
Rams,2024,Logan Bruss,G,195,17.89%,0,0%,30,6.82%,Logan Bruss 2024 game-by-game snap counts
Rams,2024,Justin Dedich,G,206,18.90%,0,0%,42,9.55%,Justin Dedich 2024 game-by-game snap counts
Rams,2024,Dylan McMahon,C,66,6.06%,0,0%,5,1.14%,Dylan McMahon 2024 game-by-game snap counts
Rams,2024,Beaux Limmer,C,917,84.13%,0,0%,65,14.77%,Beaux Limmer 2024 game-by-game snap counts
Rams,2024,Jared Verse,"DE,LB",0,0%,834,74.80%,0,0%,Jared Verse 2024 game-by-game snap counts
Rams,2024,Jonah Williams,DE,0,0%,40,3.59%,10,2.27%,Jonah Williams 2024 game-by-game snap counts
Rams,2024,Braden Fiske,DT,0,0%,661,59.28%,79,17.95%,Braden Fiske 2024 game-by-game snap counts
Rams,2024,Desjuan Johnson,DT,0,0%,120,10.76%,7,1.59%,Desjuan Johnson 2024 game-by-game snap counts
Rams,2024,Tyler Davis,"DE,DT",0,0%,299,26.82%,7,1.59%,Tyler Davis 2024 game-by-game snap counts
Rams,2024,Neville Gallimore,"DT,NT",0,0%,264,23.68%,32,7.27%,Neville Gallimore 2024 game-by-game snap counts
Rams,2024,Kobie Turner,NT,0,0%,834,74.80%,85,19.32%,Kobie Turner 2024 game-by-game snap counts
Rams,2024,Bobby Brown,NT,0,0%,472,42.33%,59,13.41%,Bobby Brown 2024 game-by-game snap counts
Rams,2024,Troy Reeder,LB,0,0%,372,33.36%,37,8.41%,Troy Reeder 2024 game-by-game snap counts
Rams,2024,Christian Rozeboom,LB,0,0%,828,74.26%,184,41.82%,Christian Rozeboom 2024 game-by-game snap counts
Rams,2024,Keir Thomas,LB,0,0%,39,3.50%,14,3.18%,Keir Thomas 2024 game-by-game snap counts
Rams,2024,Byron Young,LB,0,0%,844,75.70%,9,2.05%,Byron Young 2024 game-by-game snap counts
Rams,2024,Michael Hoecht,LB,0,0%,639,57.31%,167,37.95%,Michael Hoecht 2024 game-by-game snap counts
Rams,2024,Jake Hummel,LB,0,0%,74,6.64%,338,76.82%,Jake Hummel 2024 game-by-game snap counts
Rams,2024,Omar Speights,LB,0,0%,419,37.58%,266,60.45%,Omar Speights 2024 game-by-game snap counts
Rams,2024,Nick Hampton,LB,0,0%,10,.90%,230,52.27%,Nick Hampton 2024 game-by-game snap counts
Rams,2024,Elias Neal,LB,0,0%,0,0%,77,17.50%,Elias Neal 2024 game-by-game snap counts
Rams,2024,Brennan Jackson,LB,0,0%,47,4.22%,56,12.73%,Brennan Jackson 2024 game-by-game snap counts
Rams,2024,Tre'Davious White,CB,0,0%,252,22.60%,20,4.55%,Tre'Davious White 2024 game-by-game snap counts
Rams,2024,Cobie Durant,CB,0,0%,777,69.69%,65,14.77%,Cobie Durant 2024 game-by-game snap counts
Rams,2024,Darious Williams,CB,0,0%,766,68.70%,0,0%,Darious Williams 2024 game-by-game snap counts
Rams,2024,Ahkello Witherspoon,CB,0,0%,494,44.30%,22,5.00%,Ahkello Witherspoon 2024 game-by-game snap counts
Rams,2024,Cam Lampkin,CB,0,0%,0,0%,31,7.05%,Cam Lampkin 2024 game-by-game snap counts
Rams,2024,Emmanuel Forbes,CB,0,0%,52,4.66%,6,1.36%,Emmanuel Forbes 2024 game-by-game snap counts
Rams,2024,Kamren Curl,SS,0,0%,981,87.98%,35,7.95%,Kamren Curl 2024 game-by-game snap counts
Rams,2024,John Johnson,SS,0,0%,59,5.29%,0,0%,John Johnson 2024 game-by-game snap counts
Rams,2024,Russ Yeast,SS,0,0%,1,.09%,19,4.32%,Russ Yeast 2024 game-by-game snap counts
Rams,2024,Quentin Lake,FS,0,0%,1070,95.96%,92,20.91%,Quentin Lake 2024 game-by-game snap counts
Rams,2024,Kamren Kinchens,"DB,FS",0,0%,514,46.10%,117,26.59%,Kamren Kinchens 2024 game-by-game snap counts
