Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Ravens,2024,Josh Johnson,QB,36,3.24%,0,0%,0,0%,Josh Johnson 2024 game-by-game snap counts
Ravens,2024,Justice Hill,RB,414,37.30%,0,0%,68,14.32%,Justice Hill 2024 game-by-game snap counts
Ravens,2024,Derrick Henry,RB,635,57.21%,0,0%,0,0%,Derrick Henry 2024 game-by-game snap counts
Ravens,2024,Rasheen Ali,RB,29,2.61%,0,0%,40,8.42%,Rasheen Ali 2024 game-by-game snap counts
Ravens,2024,Keaton Mitchell,RB,36,3.24%,0,0%,25,5.26%,Keaton Mitchell 2024 game-by-game snap counts
Ravens,2024,John Kelly,RB,0,0%,0,0%,11,2.32%,John Kelly 2024 game-by-game snap counts
Ravens,2024,Chris Collier,RB,3,.27%,0,0%,28,5.89%,Chris Collier 2024 game-by-game snap counts
Ravens,2024,Patrick Ricard,FB,435,39.19%,0,0%,0,0%,Patrick Ricard 2024 game-by-game snap counts
Ravens,2024,Zay Flowers,WR,832,74.95%,0,0%,6,1.26%,Zay Flowers 2024 game-by-game snap counts
Ravens,2024,Rashod Bateman,WR,766,69.01%,0,0%,0,0%,Rashod Bateman 2024 game-by-game snap counts
Ravens,2024,Nelson Agholor,WR,420,37.84%,0,0%,0,0%,Nelson Agholor 2024 game-by-game snap counts
Ravens,2024,Tylan Wallace,WR,275,24.77%,0,0%,268,56.42%,Tylan Wallace 2024 game-by-game snap counts
Ravens,2024,Diontae Johnson,WR,39,3.51%,0,0%,1,.21%,Diontae Johnson 2024 game-by-game snap counts
Ravens,2024,Deonte Harty,WR,6,.54%,0,0%,46,9.68%,Deonte Harty 2024 game-by-game snap counts
Ravens,2024,Devontez Walker,WR,57,5.14%,0,0%,155,32.63%,Devontez Walker 2024 game-by-game snap counts
Ravens,2024,Steven Sims,WR,0,0%,0,0%,15,3.16%,Steven Sims 2024 game-by-game snap counts
Ravens,2024,Anthony Miller,WR,9,.81%,0,0%,4,.84%,Anthony Miller 2024 game-by-game snap counts
Ravens,2024,Mark Andrews,TE,682,61.44%,0,0%,6,1.26%,Mark Andrews 2024 game-by-game snap counts
Ravens,2024,Isaiah Likely,TE,627,56.49%,0,0%,14,2.95%,Isaiah Likely 2024 game-by-game snap counts
Ravens,2024,Charlie Kolar,TE,251,22.61%,0,0%,289,60.84%,Charlie Kolar 2024 game-by-game snap counts
Ravens,2024,Daniel Faalele,T,1107,99.73%,0,0%,92,19.37%,Daniel Faalele 2024 game-by-game snap counts
Ravens,2024,Ronnie Stanley,T,1089,98.11%,0,0%,12,2.53%,Ronnie Stanley 2024 game-by-game snap counts
Ravens,2024,Roger Rosengarten,T,933,84.05%,0,0%,32,6.74%,Roger Rosengarten 2024 game-by-game snap counts
Ravens,2024,Andrew Vorhees,G,268,24.14%,0,0%,80,16.84%,Andrew Vorhees 2024 game-by-game snap counts
Ravens,2024,Patrick Mekari,G,998,89.91%,0,0%,79,16.63%,Patrick Mekari 2024 game-by-game snap counts
Ravens,2024,Malaesala Aumavae-Laulu,G,0,0%,0,0%,7,1.47%,Malaesala Aumavae-Laulu 2024 game-by-game snap counts
Ravens,2024,Josh Jones,G,46,4.14%,0,0%,87,18.32%,Josh Jones 2024 game-by-game snap counts
Ravens,2024,Ben Cleveland,G,49,4.41%,0,0%,117,24.63%,Ben Cleveland 2024 game-by-game snap counts
Ravens,2024,Tyler Linderbaum,C,1094,98.56%,0,0%,0,0%,Tyler Linderbaum 2024 game-by-game snap counts
Ravens,2024,Chris Wormley,DE,0,0%,33,2.91%,8,1.68%,Chris Wormley 2024 game-by-game snap counts
Ravens,2024,Broderick Washington Jr.,DE,0,0%,449,39.63%,65,13.68%,Broderick Washington Jr. 2024 game-by-game snap counts
Ravens,2024,Brent Urban,DE,0,0%,196,17.30%,64,13.47%,Brent Urban 2024 game-by-game snap counts
Ravens,2024,Yannick Ngakoue,DE,0,0%,87,7.68%,17,3.58%,Yannick Ngakoue 2024 game-by-game snap counts
Ravens,2024,Travis Jones,DT,0,0%,600,52.96%,136,28.63%,Travis Jones 2024 game-by-game snap counts
Ravens,2024,Nnamdi Madubuike,DT,0,0%,812,71.67%,2,.42%,Nnamdi Madubuike 2024 game-by-game snap counts
Ravens,2024,Josh Tupou,NT,0,0%,61,5.38%,1,.21%,Josh Tupou 2024 game-by-game snap counts
Ravens,2024,Michael Pierce,NT,0,0%,231,20.39%,5,1.05%,Michael Pierce 2024 game-by-game snap counts
Ravens,2024,Roquan Smith,LB,0,0%,992,87.56%,1,.21%,Roquan Smith 2024 game-by-game snap counts
Ravens,2024,Trenton Simpson,LB,0,0%,655,57.81%,204,42.95%,Trenton Simpson 2024 game-by-game snap counts
Ravens,2024,Odafe Oweh,LB,0,0%,636,56.13%,1,.21%,Odafe Oweh 2024 game-by-game snap counts
Ravens,2024,Malik Harrison,LB,0,0%,372,32.83%,336,70.74%,Malik Harrison 2024 game-by-game snap counts
Ravens,2024,Tavius Robinson,LB,0,0%,486,42.89%,268,56.42%,Tavius Robinson 2024 game-by-game snap counts
Ravens,2024,David Ojabo,LB,0,0%,275,24.27%,24,5.05%,David Ojabo 2024 game-by-game snap counts
Ravens,2024,Chris Board,LB,0,0%,168,14.83%,382,80.42%,Chris Board 2024 game-by-game snap counts
Ravens,2024,Kyle Van Noy,LB,0,0%,631,55.69%,0,0%,Kyle Van Noy 2024 game-by-game snap counts
Ravens,2024,William Kwenkeu,LB,0,0%,0,0%,33,6.95%,William Kwenkeu 2024 game-by-game snap counts
Ravens,2024,Kristian Welch,LB,0,0%,17,1.50%,188,39.58%,Kristian Welch 2024 game-by-game snap counts
Ravens,2024,Josh Ross,LB,0,0%,0,0%,138,29.05%,Josh Ross 2024 game-by-game snap counts
Ravens,2024,Adisa Isaac,LB,0,0%,32,2.82%,46,9.68%,Adisa Isaac 2024 game-by-game snap counts
Ravens,2024,Marlon Humphrey,CB,0,0%,903,79.70%,1,.21%,Marlon Humphrey 2024 game-by-game snap counts
Ravens,2024,Arthur Maulet,CB,0,0%,72,6.35%,32,6.74%,Arthur Maulet 2024 game-by-game snap counts
Ravens,2024,Jalyn Armour-Davis,CB,0,0%,94,8.30%,135,28.42%,Jalyn Armour-Davis 2024 game-by-game snap counts
Ravens,2024,Nate Wiggins,CB,0,0%,680,60.02%,194,40.84%,Nate Wiggins 2024 game-by-game snap counts
Ravens,2024,T.J. Tampa,CB,0,0%,18,1.59%,138,29.05%,T.J. Tampa 2024 game-by-game snap counts
Ravens,2024,Desmond King,CB,0,0%,19,1.68%,25,5.26%,Desmond King 2024 game-by-game snap counts
Ravens,2024,Tre'Davious White,CB,0,0%,152,13.42%,1,.21%,Tre'Davious White 2024 game-by-game snap counts
Ravens,2024,Ka'dar Hollman,CB,0,0%,0,0%,69,14.53%,Ka'dar Hollman 2024 game-by-game snap counts
Ravens,2024,Bump Cooper,CB,0,0%,0,0%,6,1.26%,Bump Cooper 2024 game-by-game snap counts
Ravens,2024,Kyle Hamilton,SS,0,0%,1044,92.14%,17,3.58%,Kyle Hamilton 2024 game-by-game snap counts
