Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Seahawks,2024,Sam Howell,QB,25,2.27%,0,0%,0,0%,Sam Howell 2024 game-by-game snap counts
Seahawks,2024,Kenneth Walker III,RB,469,42.64%,0,0%,0,0%,Kenneth Walker III 2024 game-by-game snap counts
Seahawks,2024,Zach Charbonnet,RB,568,51.64%,0,0%,46,9.79%,Zach Charbonnet 2024 game-by-game snap counts
Seahawks,2024,George Holani,RB,5,.45%,0,0%,36,7.66%,George Holani 2024 game-by-game snap counts
Seahawks,2024,Kenny McIntosh,RB,75,6.82%,0,0%,173,36.81%,Kenny McIntosh 2024 game-by-game snap counts
Seahawks,2024,D.K. Metcalf,WR,832,75.64%,0,0%,0,0%,D.K. Metcalf 2024 game-by-game snap counts
Seahawks,2024,Jaxon Smith-Njigba,WR,948,86.18%,0,0%,0,0%,Jaxon Smith-Njigba 2024 game-by-game snap counts
Seahawks,2024,Jake Bobo,WR,319,29.00%,0,0%,314,66.81%,Jake Bobo 2024 game-by-game snap counts
Seahawks,2024,Cody White,WR,62,5.64%,0,0%,49,10.43%,Cody White 2024 game-by-game snap counts
Seahawks,2024,Tyler Lockett,WR,765,69.55%,0,0%,0,0%,Tyler Lockett 2024 game-by-game snap counts
Seahawks,2024,Dareke Young,WR,27,2.45%,0,0%,231,49.15%,Dareke Young 2024 game-by-game snap counts
Seahawks,2024,Laviska Shenault Jr.,WR,45,4.09%,0,0%,168,35.74%,Laviska Shenault Jr. 2024 game-by-game snap counts
Seahawks,2024,Dee Williams,WR,0,0%,4,.35%,133,28.30%,Dee Williams 2024 game-by-game snap counts
Seahawks,2024,Jaelon Darden,WR,0,0%,0,0%,33,7.02%,Jaelon Darden 2024 game-by-game snap counts
Seahawks,2024,Noah Fant,TE,569,51.73%,0,0%,0,0%,Noah Fant 2024 game-by-game snap counts
Seahawks,2024,AJ Barner,TE,501,45.55%,0,0%,160,34.04%,AJ Barner 2024 game-by-game snap counts
Seahawks,2024,Brady Russell,TE,33,3.00%,0,0%,230,48.94%,Brady Russell 2024 game-by-game snap counts
Seahawks,2024,Pharaoh Brown,TE,264,24.00%,0,0%,191,40.64%,Pharaoh Brown 2024 game-by-game snap counts
Seahawks,2024,Tyler Mabry,TE,4,.36%,0,0%,6,1.28%,Tyler Mabry 2024 game-by-game snap counts
Seahawks,2024,Charles Cross,T,1097,99.73%,0,0%,70,14.89%,Charles Cross 2024 game-by-game snap counts
Seahawks,2024,Sataoa Laumea,T,358,32.55%,0,0%,10,2.13%,Sataoa Laumea 2024 game-by-game snap counts
Seahawks,2024,Stone Forsythe,T,414,37.64%,0,0%,38,8.09%,Stone Forsythe 2024 game-by-game snap counts
Seahawks,2024,Abraham Lucas,T,409,37.18%,0,0%,24,5.11%,Abraham Lucas 2024 game-by-game snap counts
Seahawks,2024,George Fant,T,30,2.73%,0,0%,0,0%,George Fant 2024 game-by-game snap counts
Seahawks,2024,Jalen Sundell,T,57,5.18%,0,0%,59,12.55%,Jalen Sundell 2024 game-by-game snap counts
Seahawks,2024,Michael Jerrell,T,250,22.73%,0,0%,40,8.51%,Michael Jerrell 2024 game-by-game snap counts
Seahawks,2024,Laken Tomlinson,G,1097,99.73%,0,0%,60,12.77%,Laken Tomlinson 2024 game-by-game snap counts
Seahawks,2024,Anthony Bradford,G,578,52.55%,0,0%,42,8.94%,Anthony Bradford 2024 game-by-game snap counts
Seahawks,2024,Christian Haynes,G,167,15.18%,0,0%,67,14.26%,Christian Haynes 2024 game-by-game snap counts
Seahawks,2024,McClendon Curtis,G,0,0%,0,0%,19,4.04%,McClendon Curtis 2024 game-by-game snap counts
Seahawks,2024,Connor Williams,C,618,56.18%,0,0%,0,0%,Connor Williams 2024 game-by-game snap counts
Seahawks,2024,Olusegun Oluwatimi,C,438,39.82%,0,0%,15,3.19%,Olusegun Oluwatimi 2024 game-by-game snap counts
Seahawks,2024,Dre'Mont Jones,DE,0,0%,617,54.55%,64,13.62%,Dre'Mont Jones 2024 game-by-game snap counts
Seahawks,2024,Mike Morris,DE,0,0%,70,6.19%,287,61.06%,Mike Morris 2024 game-by-game snap counts
Seahawks,2024,Myles Adams,DE,0,0%,36,3.18%,12,2.55%,Myles Adams 2024 game-by-game snap counts
Seahawks,2024,Leonard Williams,DT,0,0%,750,66.31%,54,11.49%,Leonard Williams 2024 game-by-game snap counts
Seahawks,2024,Byron Murphy,DT,1,.09%,457,40.41%,50,10.64%,Byron Murphy 2024 game-by-game snap counts
Seahawks,2024,Roy Robertson-Harris,DT,0,0%,188,16.62%,49,10.43%,Roy Robertson-Harris 2024 game-by-game snap counts
Seahawks,2024,Johnathan Hankins,DT,0,0%,390,34.48%,21,4.47%,Johnathan Hankins 2024 game-by-game snap counts
Seahawks,2024,Quinton Bohanna,DT,0,0%,7,.62%,0,0%,Quinton Bohanna 2024 game-by-game snap counts
Seahawks,2024,Jarran Reed,NT,0,0%,680,60.12%,65,13.83%,Jarran Reed 2024 game-by-game snap counts
Seahawks,2024,Cameron Young,NT,0,0%,2,.18%,1,.21%,Cameron Young 2024 game-by-game snap counts
Seahawks,2024,Ernest Jones,LB,0,0%,667,58.97%,27,5.74%,Ernest Jones 2024 game-by-game snap counts
Seahawks,2024,Jerome Baker,LB,0,0%,291,25.73%,20,4.26%,Jerome Baker 2024 game-by-game snap counts
Seahawks,2024,Tyrel Dodson,LB,0,0%,604,53.40%,40,8.51%,Tyrel Dodson 2024 game-by-game snap counts
Seahawks,2024,Boye Mafe,LB,0,0%,608,53.76%,5,1.06%,Boye Mafe 2024 game-by-game snap counts
Seahawks,2024,Derick Hall,LB,0,0%,674,59.59%,90,19.15%,Derick Hall 2024 game-by-game snap counts
Seahawks,2024,Uchenna Nwosu,LB,0,0%,190,16.80%,0,0%,Uchenna Nwosu 2024 game-by-game snap counts
Seahawks,2024,Tyus Bowser,LB,0,0%,38,3.36%,7,1.49%,Tyus Bowser 2024 game-by-game snap counts
Seahawks,2024,Tyrice Knight,LB,0,0%,551,48.72%,82,17.45%,Tyrice Knight 2024 game-by-game snap counts
Seahawks,2024,Josh Ross,LB,0,0%,0,0%,176,37.45%,Josh Ross 2024 game-by-game snap counts
Seahawks,2024,Drake Thomas,LB,0,0%,37,3.27%,318,67.66%,Drake Thomas 2024 game-by-game snap counts
Seahawks,2024,Jamie Sheriff,LB,0,0%,0,0%,8,1.70%,Jamie Sheriff 2024 game-by-game snap counts
Seahawks,2024,Patrick O'Connell,LB,0,0%,0,0%,58,12.34%,Patrick O'Connell 2024 game-by-game snap counts
Seahawks,2024,Trevis Gipson,LB,0,0%,47,4.16%,28,5.96%,Trevis Gipson 2024 game-by-game snap counts
Seahawks,2024,Riq Woolen,CB,0,0%,890,78.69%,55,11.70%,Riq Woolen 2024 game-by-game snap counts
Seahawks,2024,Devon Witherspoon,CB,0,0%,1104,97.61%,75,15.96%,Devon Witherspoon 2024 game-by-game snap counts
Seahawks,2024,Josh Jobe,CB,0,0%,443,39.17%,47,10.00%,Josh Jobe 2024 game-by-game snap counts
Seahawks,2024,Tre Brown,CB,0,0%,290,25.64%,101,21.49%,Tre Brown 2024 game-by-game snap counts
Seahawks,2024,Coby Bryant,CB,0,0%,786,69.50%,158,33.62%,Coby Bryant 2024 game-by-game snap counts
Seahawks,2024,Artie Burns,CB,0,0%,51,4.51%,55,11.70%,Artie Burns 2024 game-by-game snap counts
Seahawks,2024,Faion Hicks,CB,0,0%,14,1.24%,13,2.77%,Faion Hicks 2024 game-by-game snap counts
Seahawks,2024,Rayshawn Jenkins,SS,0,0%,550,48.63%,53,11.28%,Rayshawn Jenkins 2024 game-by-game snap counts
Seahawks,2024,Julian Love,SS,0,0%,1079,95.40%,93,19.79%,Julian Love 2024 game-by-game snap counts
Seahawks,2024,Jerrick Reed,SS,0,0%,5,.44%,80,17.02%,Jerrick Reed 2024 game-by-game snap counts
Seahawks,2024,Ty Okada,SS,0,0%,33,2.92%,23,4.89%,Ty Okada 2024 game-by-game snap counts
Seahawks,2024,K'Von Wallace,FS,0,0%,127,11.23%,139,29.57%,K'Von Wallace 2024 game-by-game snap counts
Seahawks,2024,AJ Finley,FS,0,0%,6,.53%,62,13.19%,AJ Finley 2024 game-by-game snap counts
Seahawks,2024,Marquise Blair,FS,0,0%,0,0%,10,2.13%,Marquise Blair 2024 game-by-game snap counts
Seahawks,2024,Nehemiah Pritchett,"CB,DB",0,0%,151,13.35%,73,15.53%,Nehemiah Pritchett 2024 game-by-game snap counts
Seahawks,2024,Chris Stoll,LS,0,0%,0,0%,148,31.49%,Chris Stoll 2024 game-by-game snap counts
Seahawks,2024,Jason Myers,K,0,0%,0,0%,156,33.19%,Jason Myers 2024 game-by-game snap counts
Seahawks,2024,Michael Dickson,P,0,0%,0,0%,148,31.49%,Michael Dickson 2024 game-by-game snap counts
Seahawks,2024,Total Snaps,,1100,,1131,,470,,
