Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Texans,2024,Davis Mills,QB,72,6.50%,0,0%,0,0%,Davis Mills 2024 game-by-game snap counts
Texans,2024,Joe Mixon,RB,557,50.32%,0,0%,0,0%,Joe Mixon 2024 game-by-game snap counts
Texans,2024,Dare Ogunbowale,RB,310,28.00%,0,0%,269,56.39%,Dare Ogunbowale 2024 game-by-game snap counts
Texans,2024,British Brooks,RB,9,.81%,0,0%,79,16.56%,British Brooks 2024 game-by-game snap counts
Texans,2024,Dameon Pierce,RB,111,10.03%,0,0%,48,10.06%,Dameon Pierce 2024 game-by-game snap counts
Texans,2024,Cam Akers,RB,96,8.67%,0,0%,0,0%,Cam Akers 2024 game-by-game snap counts
Texans,2024,J.J. Taylor,RB,33,2.98%,0,0%,22,4.61%,J.J. Taylor 2024 game-by-game snap counts
Texans,2024,Troy Hairston,FB,0,0%,0,0%,39,8.18%,Troy Hairston 2024 game-by-game snap counts
Texans,2024,Andrew Beck,FB,12,1.08%,0,0%,0,0%,Andrew Beck 2024 game-by-game snap counts
Texans,2024,Nico Collins,WR,502,45.35%,0,0%,0,0%,Nico Collins 2024 game-by-game snap counts
Texans,2024,Stefon Diggs,WR,431,38.93%,0,0%,0,0%,Stefon Diggs 2024 game-by-game snap counts
Texans,2024,Tank Dell,WR,633,57.18%,0,0%,7,1.47%,Tank Dell 2024 game-by-game snap counts
Texans,2024,Jared Wayne,WR,40,3.61%,0,0%,24,5.03%,Jared Wayne 2024 game-by-game snap counts
Texans,2024,Xavier Hutchinson,WR,493,44.53%,0,0%,109,22.85%,Xavier Hutchinson 2024 game-by-game snap counts
Texans,2024,Diontae Johnson,WR,22,1.99%,0,0%,1,.21%,Diontae Johnson 2024 game-by-game snap counts
Texans,2024,Robert Woods,WR,361,32.61%,0,0%,71,14.88%,Robert Woods 2024 game-by-game snap counts
Texans,2024,John Metchie,WR,381,34.42%,0,0%,10,2.10%,John Metchie 2024 game-by-game snap counts
Texans,2024,Steven Sims,WR,10,.90%,0,0%,63,13.21%,Steven Sims 2024 game-by-game snap counts
Texans,2024,Dalton Schultz,TE,865,78.14%,0,0%,12,2.52%,Dalton Schultz 2024 game-by-game snap counts
Texans,2024,Brevin Jordan,TE,67,6.05%,0,0%,20,4.19%,Brevin Jordan 2024 game-by-game snap counts
Texans,2024,Cade Stover,TE,400,36.13%,0,0%,249,52.20%,Cade Stover 2024 game-by-game snap counts
Texans,2024,Irv Smith Jr.,TE,85,7.68%,0,0%,15,3.14%,Irv Smith Jr. 2024 game-by-game snap counts
Texans,2024,Teagan Quitoriano,TE,102,9.21%,0,0%,49,10.27%,Teagan Quitoriano 2024 game-by-game snap counts
Texans,2024,Tytus Howard,T,1018,91.96%,0,0%,73,15.30%,Tytus Howard 2024 game-by-game snap counts
Texans,2024,Laremy Tunsil,T,1028,92.86%,0,0%,72,15.09%,Laremy Tunsil 2024 game-by-game snap counts
Texans,2024,Austin Deculus,T,29,2.62%,0,0%,6,1.26%,Austin Deculus 2024 game-by-game snap counts
Texans,2024,Zachary Thomas,T,17,1.54%,0,0%,25,5.24%,Zachary Thomas 2024 game-by-game snap counts
Texans,2024,Blake Fisher,T,337,30.44%,0,0%,67,14.05%,Blake Fisher 2024 game-by-game snap counts
Texans,2024,Kenyon Green,G,583,52.66%,0,0%,46,9.64%,Kenyon Green 2024 game-by-game snap counts
Texans,2024,Shaq Mason,G,933,84.28%,0,0%,71,14.88%,Shaq Mason 2024 game-by-game snap counts
Texans,2024,Nick Broeker,G,6,.54%,0,0%,40,8.39%,Nick Broeker 2024 game-by-game snap counts
Texans,2024,Juice Scruggs,C,873,78.86%,0,0%,34,7.13%,Juice Scruggs 2024 game-by-game snap counts
Texans,2024,Jarrett Patterson,C,548,49.50%,0,0%,33,6.92%,Jarrett Patterson 2024 game-by-game snap counts
Texans,2024,Kendrick Green,C,178,16.08%,0,0%,79,16.56%,Kendrick Green 2024 game-by-game snap counts
Texans,2024,Danielle Hunter,DE,0,0%,766,69.95%,12,2.52%,Danielle Hunter 2024 game-by-game snap counts
Texans,2024,Will Anderson,DE,0,0%,561,51.23%,14,2.94%,Will Anderson 2024 game-by-game snap counts
Texans,2024,Denico Autry,DE,0,0%,314,28.68%,23,4.82%,Denico Autry 2024 game-by-game snap counts
Texans,2024,Solomon Byrd,DE,0,0%,20,1.83%,1,.21%,Solomon Byrd 2024 game-by-game snap counts
Texans,2024,Derek Barnett,DE,0,0%,390,35.62%,53,11.11%,Derek Barnett 2024 game-by-game snap counts
Texans,2024,Dylan Horton,DE,0,0%,212,19.36%,147,30.82%,Dylan Horton 2024 game-by-game snap counts
Texans,2024,Jerry Hughes,DE,0,0%,92,8.40%,1,.21%,Jerry Hughes 2024 game-by-game snap counts
Texans,2024,Tommy Togiai,DT,0,0%,249,22.74%,17,3.56%,Tommy Togiai 2024 game-by-game snap counts
Texans,2024,Mario Edwards,DT,0,0%,465,42.47%,51,10.69%,Mario Edwards 2024 game-by-game snap counts
Texans,2024,Folorunso Fatukasi,DT,0,0%,308,28.13%,7,1.47%,Folorunso Fatukasi 2024 game-by-game snap counts
Texans,2024,Kurt Hinish,DT,0,0%,231,21.10%,23,4.82%,Kurt Hinish 2024 game-by-game snap counts
Texans,2024,Tim Settle,DT,0,0%,625,57.08%,63,13.21%,Tim Settle 2024 game-by-game snap counts
Texans,2024,Khalil Davis,DT,0,0%,172,15.71%,37,7.76%,Khalil Davis 2024 game-by-game snap counts
Texans,2024,Christian Harris,LB,0,0%,172,15.71%,0,0%,Christian Harris 2024 game-by-game snap counts
Texans,2024,Azeez Al-Shaair,LB,0,0%,573,52.33%,3,.63%,Azeez Al-Shaair 2024 game-by-game snap counts
Texans,2024,Henry To'oTo'o,LB,0,0%,830,75.80%,53,11.11%,Henry To'oTo'o 2024 game-by-game snap counts
Texans,2024,Devin White,LB,0,0%,176,16.07%,6,1.26%,Devin White 2024 game-by-game snap counts
Texans,2024,Jake Hansen,LB,0,0%,134,12.24%,311,65.20%,Jake Hansen 2024 game-by-game snap counts
Texans,2024,Neville Hewitt,LB,0,0%,341,31.14%,329,68.97%,Neville Hewitt 2024 game-by-game snap counts
Texans,2024,Del'Shawn Phillips,LB,0,0%,27,2.47%,368,77.15%,Del'Shawn Phillips 2024 game-by-game snap counts
Texans,2024,Jamal Hill,LB,0,0%,0,0%,126,26.42%,Jamal Hill 2024 game-by-game snap counts
Texans,2024,Rashad Weaver,LB,0,0%,14,1.28%,26,5.45%,Rashad Weaver 2024 game-by-game snap counts
Texans,2024,Zeke Turner,LB,0,0%,0,0%,13,2.73%,Zeke Turner 2024 game-by-game snap counts
Texans,2024,Derek Stingley Jr.,CB,0,0%,1012,92.42%,12,2.52%,Derek Stingley Jr. 2024 game-by-game snap counts
Texans,2024,Kamari Lassiter,CB,0,0%,799,72.97%,12,2.52%,Kamari Lassiter 2024 game-by-game snap counts
Texans,2024,Ka'dar Hollman,CB,0,0%,116,10.59%,121,25.37%,Ka'dar Hollman 2024 game-by-game snap counts
Texans,2024,D'Angelo Ross,CB,0,0%,183,16.71%,146,30.61%,D'Angelo Ross 2024 game-by-game snap counts
Texans,2024,Kris Boyd,CB,0,0%,48,4.38%,365,76.52%,Kris Boyd 2024 game-by-game snap counts
Texans,2024,Desmond King,CB,0,0%,0,0%,8,1.68%,Desmond King 2024 game-by-game snap counts
Texans,2024,Myles Bryant,CB,0,0%,69,6.30%,121,25.37%,Myles Bryant 2024 game-by-game snap counts
Texans,2024,Jeff Okudah,CB,0,0%,77,7.03%,74,15.51%,Jeff Okudah 2024 game-by-game snap counts
Texans,2024,Calen Bullock,SS,0,0%,977,89.22%,90,18.87%,Calen Bullock 2024 game-by-game snap counts
Texans,2024,M.J. Stewart,SS,0,0%,94,8.58%,350,73.38%,M.J. Stewart 2024 game-by-game snap counts
Texans,2024,Jalen Pitre,FS,0,0%,660,60.27%,8,1.68%,Jalen Pitre 2024 game-by-game snap counts
Texans,2024,Jimmie Ward,FS,0,0%,461,42.10%,4,.84%,Jimmie Ward 2024 game-by-game snap counts
Texans,2024,Eric Murray,FS,0,0%,856,78.17%,117,24.53%,Eric Murray 2024 game-by-game snap counts
Texans,2024,Russ Yeast,FS,0,0%,20,1.83%,12,2.52%,Russ Yeast 2024 game-by-game snap counts
Texans,2024,Jon Weeks,LS,0,0%,0,0%,159,33.33%,Jon Weeks 2024 game-by-game snap counts
Texans,2024,Ka'imi Fairbairn,K,0,0%,0,0%,168,35.22%,Ka'imi Fairbairn 2024 game-by-game snap counts
Texans,2024,Tommy Townsend,P,0,0%,0,0%,159,33.33%,Tommy Townsend 2024 game-by-game snap counts
Texans,2024,Total Snaps,,1107,,1095,,477,,
