Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Vikings,2024,Nick Mullens,QB,7,.63%,0,0%,0,0%,Nick Mullens 2024 game-by-game snap counts
Vikings,2024,Aaron Jones,RB,700,62.67%,0,0%,0,0%,Aaron Jones 2024 game-by-game snap counts
Vikings,2024,Ty Chandler,RB,153,13.70%,0,0%,146,32.44%,Ty Chandler 2024 game-by-game snap counts
Vikings,2024,Myles Gaskin,RB,7,.63%,0,0%,26,5.78%,Myles Gaskin 2024 game-by-game snap counts
Vikings,2024,Cam Akers,RB,186,16.65%,0,0%,42,9.33%,Cam Akers 2024 game-by-game snap counts
Vikings,2024,C.J. Ham,FB,262,23.46%,0,0%,282,62.67%,C.J. Ham 2024 game-by-game snap counts
Vikings,2024,Justin Jefferson,WR,1043,93.38%,0,0%,4,.89%,Justin Jefferson 2024 game-by-game snap counts
Vikings,2024,Brandon Powell,WR,213,19.07%,0,0%,86,19.11%,Brandon Powell 2024 game-by-game snap counts
Vikings,2024,Jordan Addison,WR,818,73.23%,0,0%,1,.22%,Jordan Addison 2024 game-by-game snap counts
Vikings,2024,Jalen Nailor,WR,573,51.30%,0,0%,7,1.56%,Jalen Nailor 2024 game-by-game snap counts
Vikings,2024,Trent Sherfield,WR,179,16.03%,0,0%,221,49.11%,Trent Sherfield 2024 game-by-game snap counts
Vikings,2024,Trishton Jackson,WR,10,.90%,0,0%,2,.44%,Trishton Jackson 2024 game-by-game snap counts
Vikings,2024,T.J. Hockenson,TE,423,37.87%,0,0%,3,.67%,T.J. Hockenson 2024 game-by-game snap counts
Vikings,2024,Josh Oliver,TE,552,49.42%,0,0%,119,26.44%,Josh Oliver 2024 game-by-game snap counts
Vikings,2024,Johnny Mundt,TE,434,38.85%,0,0%,133,29.56%,Johnny Mundt 2024 game-by-game snap counts
Vikings,2024,Robert Tonyan,TE,15,1.34%,0,0%,37,8.22%,Robert Tonyan 2024 game-by-game snap counts
Vikings,2024,Nick Muse,TE,17,1.52%,0,0%,47,10.44%,Nick Muse 2024 game-by-game snap counts
Vikings,2024,Cam Robinson,T,632,56.58%,0,0%,50,11.11%,Cam Robinson 2024 game-by-game snap counts
Vikings,2024,Christian Darrisaw,T,392,35.09%,0,0%,32,7.11%,Christian Darrisaw 2024 game-by-game snap counts
Vikings,2024,Brian O'Neill,T,1100,98.48%,0,0%,85,18.89%,Brian O'Neill 2024 game-by-game snap counts
Vikings,2024,Walter Rouse,T,0,0%,0,0%,6,1.33%,Walter Rouse 2024 game-by-game snap counts
Vikings,2024,David Quessenberry,T,110,9.85%,0,0%,90,20.00%,David Quessenberry 2024 game-by-game snap counts
Vikings,2024,Ed Ingram,G,580,51.92%,0,0%,84,18.67%,Ed Ingram 2024 game-by-game snap counts
Vikings,2024,Blake Brandel,G,1117,100.00%,0,0%,90,20.00%,Blake Brandel 2024 game-by-game snap counts
Vikings,2024,Dalton Risner,G,537,48.08%,0,0%,50,11.11%,Dalton Risner 2024 game-by-game snap counts
