Team,"('Unnamed: 0_level_0', 'Rk')","('Unnamed: 1_level_0', 'Player')","('Unnamed: 2_level_0', 'Age')","('Unnamed: 3_level_0', 'Pos')","('Unnamed: 4_level_0', 'G')","('Unnamed: 5_level_0', 'GS')","('Def Interceptions', 'Int')","('Def Interceptions', 'Yds')","('Def Interceptions', 'IntTD')","('Def Interceptions', 'Lng')","('Def Interceptions', 'PD')","('Fumbles', 'FF')","('Fumbles', 'Fmb')","('Fumbles', 'FR')","('Fumbles', 'Yds')","('Fumbles', 'FRTD')","('Unnamed: 16_level_0', 'Sk')","('Tackles', 'Comb')","('Tackles', 'Solo')","('Tackles', 'Ast')","('Tackles', 'TFL')","('Tackles', 'QBHits')","('Unnamed: 22_level_0', 'Sfty')","('Unnamed: 23_level_0', 'Awards')"
ravens,2.0,Derrick Henry,30.0,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP OPoY-4"
ravens,1.0,Kyle Hamilton,23.0,SS,17,17,1,0,0,0,9,2,0,1,8,0,2.0,107,77,30,4,6,0,"PB,AP-2,AP DPoY-9"
steelers,2.0,Cameron Heyward,35.0,LDE,17,17,0,0,0,0,11,0,0,0,0,0,8.0,71,35,36,12,20,0,"PB,AP-1,AP DPoY-13,AP CPoY-9"
steelers,1.0,Minkah Fitzpatrick,28.0,SS,17,17,1,25,0,25,4,1,0,0,0,0,0.0,96,62,34,1,0,0,PB
bengals,1.0,Joe Burrow,28.0,QB,17,17,0,0,0,0,0,0,11,2,-3,0,0.0,0,0,0,0,0,0,"PB,AP MVP-4,AP OPoY-5,AP CPoY-1"
bengals,2.0,Trey Hendrickson,30.0,RDE,17,17,0,0,0,0,6,2,0,0,0,0,17.5,46,33,13,19,36,0,"PB,AP-1,AP DPoY-2"
browns,1.0,Joel Bitonio,33.0,LG,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,PB
browns,2.0,Myles Garrett,29.0,RDE,17,17,0,0,0,0,1,3,0,1,0,0,14.0,47,40,7,22,28,0,"PB,AP-1,AP DPoY-3"
titans,1.0,Harold Landry,28.0,ROLB,17,17,0,0,0,0,4,0,0,0,0,0,9.0,71,42,29,15,15,1,
titans,2.0,JC Latham,21.0,LT,17,17,0,0,0,0,0,0,0,3,4,0,0.0,0,0,0,0,0,0,
texans,1.0,Danielle Hunter,30.0,RDE,17,17,0,0,0,0,3,1,0,0,0,0,12.0,46,31,15,17,23,0,"PB,AP DPoY-22"
texans,2.0,Derek Stingley Jr.,23.0,LCB,17,17,5,48,0,31,18,0,0,0,0,0,0.0,54,37,17,4,0,0,"PB,AP-1,AP DPoY-17"
colts,12.0,DeForest Buckner,30.0,DT,12,11,0,0,0,0,1,0,0,0,0,0,6.5,61,24,37,8,14,0,
colts,1.0,Nick Cross,23.0,SS,17,17,3,25,0,20,5,1,0,0,0,0,1.0,146,87,59,6,1,0,
colts,2.0,Zaire Franklin,28.0,LLB,17,17,2,4,0,4,6,5,0,0,0,0,3.5,173,93,80,11,4,0,"PB,AP-2,AP DPoY-17"
jaguars,1.0,Mitch Morse,32.0,C,17,17,0,0,0,0,0,0,2,1,-7,0,0.0,0,0,0,0,0,0,
jaguars,2.0,Travon Walker,24.0,RDE,17,17,0,0,0,0,1,2,0,1,35,1,10.5,61,31,30,13,15,0,
dolphins,1.0,Aaron Brewer,27.0,C,17,17,0,0,0,0,0,0,1,1,-22,0,0.0,0,0,0,0,0,0,
dolphins,2.0,Jordyn Brooks,27.0,RILB,17,17,0,0,0,0,6,0,0,2,23,0,3.0,143,86,57,11,6,0,
bills,32.0,Edefuan Ulofoshio,24.0,LB,4,1,0,0,0,0,1,0,0,0,0,0,0.0,6,5,1,1,0,0,
bills,2.0,James Cook,25.0,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB
bills,1.0,Josh Allen,28.0,QB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-1,AP OPoY-6"
jets,2.0,Javon Kinlaw,27.0,RDT,17,17,0,0,0,0,0,2,0,1,4,0,4.5,40,27,13,5,5,0,
jets,1.0,Micheal Clemons,27.0,LOLB,17,17,0,0,0,0,0,1,0,0,0,0,4.5,34,18,16,4,8,0,
patriots,1.0,Davon Godchaux,30.0,NT,17,17,0,0,0,0,1,0,0,0,0,0,0.0,67,24,43,1,1,0,
patriots,2.0,Michael Onwenu,27.0,RG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
broncos,2.0,D.J. Jones,29.0,NT,17,17,0,0,0,0,3,0,0,1,0,0,1.0,42,21,21,1,3,0,
broncos,1.0,Jonathon Cooper,26.0,LOLB,17,17,0,0,0,0,1,1,0,0,0,0,10.5,58,33,25,11,20,0,
chargers,1.0,Bradley Bozeman,30.0,C,17,17,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,0,0,0,
chargers,2.0,Poona Ford,29.0,RDT,17,17,1,3,0,3,5,0,0,0,0,0,3.0,39,24,15,8,9,0,
chiefs,1.0,Bryan Cook,25.0,FS,17,17,2,0,0,0,5,0,0,0,0,0,0.0,78,55,23,1,0,0,
chiefs,2.0,Creed Humphrey,25.0,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-1"
raiders,1.0,John Jenkins,35.0,LDT,17,17,0,0,0,0,2,0,0,0,0,0,1.0,46,13,33,3,4,0,
raiders,2.0,Kolton Miller,29.0,LT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
commanders,2.0,Jeremy Chinn,26.0,FS,17,17,1,0,0,0,5,1,0,2,0,0,2.0,117,73,44,7,3,0,
commanders,1.0,Nick Allegretti,28.0,LG,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
cowboys,1.0,Malik Hooker,28.0,SS,17,17,2,20,0,21,5,0,0,0,0,0,0.0,81,51,30,3,1,0,
cowboys,2.0,Osa Odighizuwa,26.0,LDT,17,17,0,0,0,0,1,1,0,0,0,0,4.5,47,25,22,5,23,0,
eagles,1.0,Jordan Davis,24.0,RDT,17,17,0,0,0,0,2,0,0,1,0,0,1.0,27,15,12,3,1,0,
eagles,2.0,Saquon Barkley,27.0,RB,16,16,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
giants,1.0,Brian Burns,26.0,LOLB,17,17,0,0,0,0,8,2,0,0,0,0,8.5,71,42,29,17,18,0,
giants,2.0,Greg Van Roten,34.0,RG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
buccaneers,1.0,Lavonte David,34.0,LILB,17,17,1,7,0,7,6,3,0,1,0,0,5.5,122,76,46,9,6,0,
buccaneers,2.0,YaYa Diaby,25.0,OLB,17,17,0,0,0,0,0,1,0,1,0,0,4.5,54,39,15,13,20,0,
falcons,1.0,Jessie Bates III,27.0,SS,17,17,4,55,1,55,10,4,0,1,0,0,1.0,102,62,40,2,1,0,
falcons,2.0,Matthew Bergeron,24.0,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
